CD_PRODCOM_2016|TX_PRODCOM_FR|TX_PRODCOM_NL|CD_UNIT|CD_TYPE
13.30.19.30|Ennoblissement de tissus de coton (à l’exclusion du blanchiment, de la teinture et de l’impression)|Afwerken van weefsels van katoen (excl. bleken, verven, bedrukken)|-|I
13.30.19.40|Ennoblissement (à l’exclusion du blanchiment, de la teinture et de l’impression) de tissus de lin, de jute, d’autres fibres textiles libériennes ou végétales, et de fils de papier|Afwerken van weefsels van vlas, jute, andere bastvezels, andere plantaardige textielvezels en papiergarens (excl. bleken, verven, bedrukken)|-|I
13.30.19.50|Ennoblissement (à l’exclusion du blanchiment, de la teinture et de l’impression) de tissus de fils de filaments ou de fibres synthétiques|Afwerken van weefsels van synthetische filamentgarens of stapelvezels (excl. bleken, verven, bedrukken)|-|I
13.30.19.60|Ennoblissement (à l’exclusion du blanchiment, de la teinture et de l’impression) de tissus de fils de filaments ou de fibres artificiels|Afwerken van weefsels van kunstmatige filamentgarens of stapelvezels (excl. bleken, verven, bedrukken)|-|I
13.30.19.70|Ennoblissement (à l’exclusion du blanchiment, de la teinture et de l’impression) de velours et peluches tissés et de tissus de chenille (à l’exclusion des tissus bouclés du genre éponge en coton et des articles de rubanerie)|Afwerken van fluweel, pluche en chenilleweefsel (excl. lussenstof (bad- en frotteerstof) van katoen en lint, en excl. bleken, verven, bedrukken)|-|I
13.30.19.80|Ennoblissement (à l’exclusion du blanchiment, de la teinture et de l’impression) de tissus bouclés du genre éponge (à l’exclusion des surfaces textiles touffetées)|Afwerken van lussenweefsel (bad- en frotteerstof) (excl. getufte weefsels en excl. bleken, verven, bedrukken)|-|I
13.30.19.90|Ennoblissement (à l’exclusion du blanchiment, de la teinture et de l’impression) d’étoffes de bonneterie et de non-tissés|Afwerken van brei- en haakwerk aan het stuk en van gebonden textielvlies (excl. bleken, verven, bedrukken)|-|I
13.30.19.95|Finissage de vêtements|Afwerken van kleding|-|I
13.91.11.00|Velours, peluches et étoffes bouclées en bonneterie|Poolbrei- en poolhaakwerk aan het stuk (incl. lussenstof)|kg|T
13.91.19.10|Étoffes de bonneterie (à l’exclusion des velours et peluches)|Brei- en haakwerk aan het stuk (excl. poolbrei- en poolhaakwerk)|kg|T
13.91.19.20|Pelleteries factices et articles en pelleteries factices|Namaakbont en artikelen van namaakbont|-|-
13.92.11.30|Couvertures (autres que les couvertures chauffantes électriques), de laine ou de poils fins|Dekens van wol of van fijn haar (excl. elektrisch verwarmde dekens)|p/st|-
13.92.11.50|Couvertures (autres que les couvertures chauffantes électriques), de fibres synthétiques|Dekens van synthetische vezels (excl. elektrisch verwarmde dekens)|p/st|-
13.92.11.90|Couvertures (autres que les couvertures chauffantes électriques), en matières textiles (à l’exclusion de la laine, des poils fins et des fibres synthétiques)|Dekens van textiel (excl. die van wol, fijn haar of synthetische vezels en excl. elektrisch verwarmde dekens)|p/st|-
13.92.12.30|Linge de lit, en bonneterie|Beddenlinnen van brei- of haakwerk|kg|-
13.92.12.53|Linge de lit, de coton (à l’exclusion des articles en bonneterie)|Beddenlinnen van katoen (excl. die van brei- of haakwerk)|kg|-
13.92.12.55|Linge de lit, de lin ou de ramie (à l’exclusion des articles en bonneterie)|Beddenlinnen van vlas of van ramee (excl. die van brei- en haakwerk)|kg|-
13.92.12.59|Linge de lit, en tissus de matières textiles (à l’exclusion du coton, du lin ou de la ramie)|Beddenlinnen van geweven textielstoffen (excl. die van katoen, vlas of ramee)|kg|-
13.92.12.70|Linge de lit, de fibres artificielles ou synthétiques, en non-tissés (à l’exclusion des articles en bonneterie)|Beddenlinnen van gebonden textielvlies van synthetische of kunstmatige vezels|kg|-
13.92.13.30|Linge de table, en bonneterie|Tafellinnen van brei- of haakwerk|kg|-
13.92.13.53|Linge de table, de coton (à l’exclusion des articles en bonneterie)|Tafellinnen van katoen (excl. die van brei- en haakwerk)|kg|-
13.92.13.55|Linge de table, de lin (à l’exclusion des articles en bonneterie)|Tafellinnen van vlas (excl. die van brei- en haakwerk)|kg|-
13.92.13.59|Linge de table, en tissus de fibres artificielles ou synthétiques ou en matières textiles tissées ou non tissées (à l’exclusion du coton et du lin)|Tafellinnen van geweven synthetische of kunstmatige vezels, van andere geweven textielstoffen of van ander gebonden textielvlies (excl. die van katoen of vlas)|kg|-
13.92.13.70|Linge de table, en non-tissés de fibres artificielles ou synthétiques|Tafellinnen van gebonden textielvlies, van synthetische of kunstmatige vezels|kg|-
13.92.14.30|Linge de toilette ou de cuisine, bouclé du genre éponge, de coton|Huishoudlinnen van lussenstof van katoen|kg|-
13.92.14.50|Linge de toilette ou de cuisine, en tissus de matières textiles (à l’exclusion des tissus bouclés du genre éponge, de coton)|Huishoudlinnen van geweven textielstoffen (excl. die van lussenstof van katoen)|kg|-
13.92.14.70|Linge de toilette ou de cuisine, en non-tissés de fibres artificielles ou synthétiques|Huishoudlinnen van gebonden textielvlies van synthetische of kunstmatige vezels|kg|-
13.92.15.30|Vitrages, rideaux, stores d’intérieur, cantonnières et tours de lits, en bonneterie|Vitrages, gordijnen en rolgordijnen (incl. bed- en gordijnvalletjes), van brei- of haakwerk|m²|-
13.92.15.50|Vitrages, rideaux, stores d’intérieur, cantonnières et tours de lits, en matières tissées|Vitrages, gordijnen en rolgordijnen (incl. bed- en gordijnvalletjes), van weefsels|m²|-
13.92.15.70|Vitrages, rideaux, stores d’intérieur, cantonnières et tours de lits, en non-tissés|Vitrages, gordijnen en rolgordijnen (incl. bed- en gordijnvalletjes), van gebonden textielvlies|m²|-
13.92.16.20|Tapisseries tissées à la main (genre Gobelins, Flandres, Aubusson, Beauvais) et tapisseries à l’aiguille, y compris au petit point ou au point de croix, même confectionnées|Tapisserieën, met de hand geweven (incl. gobelins, Vlaamse tapisserieën, aubussons, beauvais) of met de naald vervaardigd (incl. halve kruissteek, kruissteek), ook indien geconfectioneerd|-|-
13.92.16.40|Couvre-lits (à l’exclusion des édredons)|Bedspreien (excl. dekbedden)|p/st|-
13.92.16.60|Articles d’ameublement, y compris enveloppes de coussins, housses pour meubles, têtières et housses pour sièges automobiles (à l’exclusion des couvertures; linge de lit, de table, de toilette, de cuisine; vitrages, rideaux, stores, tours de lits et couvre-lits)|Artikelen voor stoffering (incl. meubelhoezen en kussenovertrekken, ook die voor autostoelen) (excl. dekens, tafel-, bedden- en huishoudlinnen, vitrages, gordijnen en rolgordijnen, valletjes en bedspreien)|-|-
13.92.16.80|Assortiments composés de pièces de tissus et de fils pour la confection de tapis, tapisseries, nappes de table, serviettes brodées et articles textiles similaires, conditionnés pour la vente au détail|Stellen of assortimenten, bestaande uit weefsel en garen, voor de vervaardiging van tapijten, van tapisserieën, van geborduurde tafelkleden en servetten of van dergelijke artikelen van textiel, o.v.k.|-|-
13.92.21.30|Sacs et sachets d’emballage, de coton|Zakken van katoen, voor verpakkingsdoeleinden|kg|-
13.92.21.50|Sacs et sachets d’emballage obtenus à partir de lames de polyéthylène ou de polypropylène, en bonneterie|Zakken van brei- of haakwerk van strippen of van dergelijke artikelen, van polyethyleen of van polypropyleen, voor verpakkingsdoeleinden|kg|-
13.92.21.70|Sacs et sachets d’emballage obtenus à partir de lames de polyéthylène ou de polypropylène (à l’exclusion des articles en bonneterie)|Zakken van strippen of van dergelijke artikelen, van polyethyleen of van polypropyleen, voor verpakkingsdoeleinden (excl. die van van brei- of haakwerk)|kg|-
13.92.21.90|Sacs et sachets d’emballage (à l’exclusion des articles de coton ou des articles obtenus à partir de lames de polyéthylène ou de polypropylène)|Zakken voor verpakkingsdoeleinden (excl. die van katoen en die van strippen van polyethyleen of van polypropyleen)|kg|-
13.92.22.10|Bâches et stores d’extérieur (à l’exclusion des auvents pour caravanes)|Dekkleden en zonneschermen voor winkelpuien en dergelijke (excl. voortenten voor kampeerwagens)|kg|-
13.92.22.30|Tentes, y compris les auvents pour caravanes|Tenten (incl. voortenten voor kampeerwagens)|kg|-
13.92.22.50|Voiles d’embarcations|Zeilen|kg|-
13.92.22.70|Matelas pneumatiques et autres articles de campement (à l’exclusion des auvents pour caravanes, des tentes ou des sacs de couchage)|Luchtbedden en andere kampeerartikelen (excl. voortenten voor kampeerwagens, tenten en slaapzakken)|kg|-
13.92.23.00|Parachutes et rotochutes, y compris les parachutes dirigeables, et leurs parties et accessoires|Valschermen en rotochutes, delen en toebehoren daarvan (incl. bestuurbare valschermen)|kg|-
13.92.24.30|Sacs de couchage|Slaapzakken|p/st|-
13.92.24.93|Articles de literie, y compris les couvre-pieds, les édredons, les coussins, les poufs et les oreillers (à l’exclusion des matelas ou des sacs de couchage), rembourrés de plumes ou de duvet|Artikelen voor bedden, gevuld met veren of dons (incl. dekbedden, gewatteerde dekens, kussens, poefs en peluws) (excl. matrassen en slaapzakken)|p/st|-
13.92.24.99|Articles de literie, y compris les couvre-pieds, les édredons, les coussins, les poufs et les oreillers (à l’exclusion des matelas ou des sacs de couchage), rembourrés d’autres matières que les plumes ou le duvet|Artikelen voor bedden, gevuld met ander materiaal dan met veren of dons (incl. dekbedden, gewatteerde dekens, kussens, poefs en peluws) (excl. matrassen en slaapzakken)|p/st|-
13.92.29.53|Serpillières, lavettes, chamoisettes et articles d’entretien similaires, en non-tissés|Dweilen, vaatdoeken, stofdoeken, poetsdoeken en dergelijke, van gebonden textielvlies|kg|-
13.92.29.57|Serpillières, lavettes, chamoisettes et articles d’entretien similaires (à l’exclusion des articles en bonneterie ou en non-tissés)|Dweilen, vaatdoeken, stofdoeken, poetsdoeken en dergelijke (excl. die van brei- of haakwerk of van gebonden textielvlies)|kg|-
13.92.29.93|Serviettes et tampons hygiéniques et articles similaires en matières textiles (à l’exclusion des ouates)|Maandverbanden (inlegverbanden), tampons en dergelijke artikelen, van textielstoffen (excl. van watten)|kg|-
13.92.29.97|Couches et langes pour bébés et articles similaires en matières textiles (à l’exclusion des ouates)|Luiers, inlegluiers en dergelijke artikelen, van textielstoffen (excl. van watten)|kg|-
13.92.29.99|Serpillières, lavettes, chamoisettes et articles d’entretien similaires, en bonneterie ou en non-tissés; ceintures et gilets de sauvetage et autres articles confectionnés (à l’exclusion des serviettes hygiéniques, couches et articles similaires)|Dweilen, vaatdoeken, stofdoeken, poetsdoeken en dergelijke, van brei- of haakwerk; zwemgordels en zwemvesten en andere geconfectioneerde artikelen (excl. maandverbanden, luiers en dergelijke artikelen)|kg|-
13.93.11.00|Tapis et autres revêtements de sol en matières textiles, à points noués ou enroulés|Tapijten, geknoopt of met opgerolde polen|m²|-
13.93.12.00|Tapis et autres revêtements de sol en matières textiles, tissés (à l’exclusion des tapis touffetés ou floqués)|Geweven tapijten (excl. getuft of gevlokt)|m²|-
13.93.13.00|Tapis et autres revêtements de sol en matières textiles, touffetés|Getufte tapijten|m²|-
13.93.19.30|Tapis et autres revêtements de sol en feutre (à l’exclusion des tapis touffetés ou floqués)|Tapijten van naaldgetouwvilt (excl. getuft of gevlokt)|m²|-
13.93.19.90|Tapis et autres revêtements de sol en matières textiles (à l’exclusion des tapis à points noués ou enroulés et des tapis tissés, touffetés ou en feutre)|Andere tapijten (excl. geknoopt of met opgerolde polen, geweven of getuft, of van naaldgetouwvilt)|m²|-
13.94.11.30|Ficelles, cordes et cordages, de sisal, de chanvre, de jute ou d’autres fibres textiles de feuilles du genre agave ou de fibres textiles libériennes (à l’exclusion des ficelles lieuses ou botteleuses)|Bindgaren, touw en kabel, van sisal of van andere textielvezels van agaven, van jute of van andere bastvezels of van harde bladvezels (excl. bindtouw)|kg|-
13.94.11.53|Ficelles lieuses ou botteleuses (pour l’agriculture), de sisal|Bindtouw van sisal|kg|-
13.94.11.55|Ficelles lieuses ou botteleuses (pour l’agriculture), de polyéthylène ou de polypropylène|Bindtouw van polyethyleen of van polypropyleen|kg|-
13.94.11.60|Cordes et cordages, de polyéthylène, de polypropylène, de nylon ou autres polyamides, de polyesters, titrant > 50 000 décitex, ou d’autres fibres synthétiques (à l’exclusion des ficelles lieuses ou botteleuses)|Bindgaren, touw en kabel, van polyethyleen of van polypropyleen, van nylon of van andere polyamiden of van polyesters, > 50 000 decitex, of van andere synthetische vezels (excl. bindtouw)|kg|-
13.94.11.70|Ficelles, de polyéthylène, de polypropylène, de nylon ou autres polyamides, ou de polyesters, titrant <= 50 000 décitex (5g/m) (à l’exclusion des ficelles lieuses ou botteleuses)|Bindgaren van polyethyleen of van polypropyleen, van nylon of van andere polyamiden of van polyesters, <= 50 000 decitex (5 g/m) (excl. bindtouw)|kg|-
13.94.11.90|Ficelles, cordes et cordages, en matières textiles (à l’exclusion des articles de jute et autres fibres textiles libériennes, de sisal, d’abaca ou autres fibres dures, et de fibres synthétiques)|Bindgaren, touw en kabels van textielstoffen (excl. jute, andere bastvezels, sisal, abaca, andere harde bladvezels en synthetische vezels)|kg|-
13.94.12.33|Filets confectionnés pour la pêche (à l’exclusion des épuisettes), faits de ficelles, cordes ou cordages de fibres artificielles ou synthétiques|Geconfectioneerde visnetten van bindgaren, touw of kabel, van synthetische of kunstmatige vezels (excl. schepnetten)|kg|-
13.94.12.35|Filets confectionnés pour la pêche (à l’exclusion des épuisettes), en fils de fibres synthétiques ou artificielles|Geconfectioneerde visnetten van garens van synthetische of kunstmatige vezels (excl. schepnetten)|kg|-
13.94.12.53|Filets confectionnés en ficelles, cordes ou cordages en nylon ou en autres polyamides (à l’exclusion des filets en pièces réalisés au crochet, des résilles et filets à cheveux ainsi que des filets pour le sport ou la pêche)|Geconfectioneerde netten van bindgaren, touw of kabel, van nylon of van andere polyamiden (excl. gehaakte netten aan het stuk, haarnetjes, sport- en visnetten)|kg|-
13.94.12.55|Filets confectionnés en nylon ou autres polyamides (à l’exclusion des filets en pièces réalisés au crochet, des résilles et filets à cheveux, des filets pour le sport ou la pêche ainsi que des filets en ficelles, cordes ou cordages)|Geconfectioneerde netten van nylon of van andere polyamiden (excl. gehaakte netten aan het stuk, haarnetjes, sport- en visnetten en netten van bindgaren, touw of kabel)|kg|-
13.94.12.59|Filets confectionnés en matières textiles (à l’exclusion des filets confectionnés pour la pêche en matières synthétiques ou artificielles et des autres filets confectionnés en nylon ou autres polyamides)|Geknoopte netten van textielstoffen (excl. geconfectioneerde visnetten van synthetische of kunstmatige textielstoffen en andere geconfectioneerde netten van nylon of van andere polyamiden)|kg|-
13.94.12.80|Articles en ficelles, cordes ou cordages|Artikelen van bindgaren,van touw of van kabel|kg|-
13.95.10.10|Non-tissés et articles en non-tissés d’un poids <= 25 g/m² (à l’exclusion des vêtements enduits ou recouverts)|Gebonden textielvlies met een gewicht <= 25 g/m² (incl. artikelen van gebonden textielvlies) (excl. kleding, of bekleed of bedekt)|kg|-
13.95.10.20|Non-tissés et articles en non-tissés d’un poids > 25 g/m² mais <= 70 g/m² (à l’exclusion des vêtements enduits ou recouverts)|Gebonden textielvlies met een gewicht > 25 doch <= 70 g/m² (incl. artikelen van gebonden textielvlies) (excl. kleding, of bekleed of bedekt)|kg|-
13.95.10.30|Non-tissés et articles en non-tissés d’un poids > 70 g/m² mais <= 150 g/m² (à l’exclusion des vêtements enduits ou recouverts)|Gebonden textielvlies met een gewicht > 70 doch <= 150 g/m² (incl. artikelen van gebonden textielvlies) (excl. kleding, of bekleed of bedekt)|kg|-
13.95.10.50|Non-tissés et articles en non-tissés d’un poids > 150 g/m² (à l’exclusion des vêtements enduits ou recouverts)|Gebonden textielvlies met een gewicht > 150 g/m² (incl. artikelen van gebonden textielvlies) (excl. kleding, of bekleed of bedekt)|kg|-
13.95.10.70|Non-tissés et articles en non-tissés, enduits ou recouverts (à l’exclusion des vêtements)|Gebonden textielvlies, bekleed of bedekt (incl. artikelen van gebonden textielvlies) (excl. kleding)|kg|-
13.96.11.00|Fils et filés métallisés|Metaalgarens, ook indien omwoeld|kg|-
13.96.12.00|Tissus de fils de métal et tissus de filés métalliques ou de fils textiles métallisés, pour vêtements, textiles d’ameublement ou usages similaires|Weefsels van metaaldraad en weefsels van metaalgarens, van de soort gebezigd voor kleding, voor stoffering of voor dergelijk gebruik|kg|-
13.96.13.00|Fils et cordes de caoutchouc, recouverts de textiles; fils textiles, lames et formes similaires, imprégnés, enduits, recouverts ou gainés de caoutchouc ou de matière plastique|Draad en koord van rubber, omwoeld of omvlochten met textiel; textielgarens en strippen, geïmpregneerd, bekleed, bedekt of ommanteld met rubber of met kunststof|kg|-
13.96.14.00|Tissus imprégnés, enduits ou recouverts n.c.a.|Textielweefsels, geïmpregneerd, bekleed of bedekt, n.e.g.|m²|-
13.96.15.00|Nappes tramées pour pneumatiques obtenues à partir de fils à haute ténacité de nylon ou autres polyamides, de polyesters ou de rayonne viscose|Bandenkoordweefsel ("tyre cord fabric") van garens met een hoge sterktegraad, van nylon of van andere polyamiden, van polyesters of van viscoserayon|m²|-
13.96.16.20|Tuyaux pour pompes et tuyaux similaires, en matières textiles, même imprégnés ou enduits, même avec armatures ou accessoires en autres matières|Brandslangen en dergelijke slangen, van textielstoffen, ook indien gewapend, met beslag of met toebehoren van andere stoffen|kg|-
13.96.16.50|Mèches tissées, courroies transporteuses ou de transmission, etc., en matières textiles (même renforcées de métal ou d’autres matières)|Kousen, pitten en wieken, voor lampen enz., drijfriemen, drijfsnaren en transportbanden (incl. versterkt met metaal of met andere materialen), van textielstoffen|kg|-
13.96.16.80|Tissus et feutres pour machines à papier ou machines similaires, y compris à pâte ou à amiante-ciment|Weefsels en vilt, van textiel, van de soort gebruikt voor papiermachines of dergelijke machines (incl. machines voor pulp of asbestcement)|kg|-
13.96.17.30|Rubanerie, à l’exclusion des étiquettes, écussons et articles similaires|Lint (excl. etiketten, insignes en dergelijke artikelen)|-|-
13.96.17.50|Étiquettes, écussons et articles similaires en matières textiles (à l’exclusion des articles brodés)|Etiketten, insignes en dergelijke artikelen, van textiel (excl. geborduurd)|-|-
13.96.17.70|Tresses en pièces; glands et pompons, articles de passementerie (à l’exclusion des articles en bonneterie)|Boordsel aan het stuk; eikels, kwasten en pompons, passementwerk en dergelijke versieringsartikelen (excl. van brei- of haakwerk)|-|-
13.99.11.30|Tulles, tulles-bobinots et tissus à mailles nouées (à l’exclusion des articles tissés ou en bonneterie)|Tule, bobinettule en filetweefsel (excl. geweven, brei- en haakwerk)|-|-
13.99.11.50|Dentelles à la mécanique en pièces, en bandes ou en motifs|Kant aan het stuk, in banden of in de vorm van motieven, mechanisch vervaardigd|-|-
13.99.11.70|Dentelles à la main en pièces, en bandes ou en motifs|Kant aan het stuk, in banden of in de vorm van motieven, met de hand vervaardigd|-|-
13.99.12.30|Broderies (chimiques, aériennes ou à fond découpé), en pièces, en bandes ou en motifs|Etskant en borduurwerk zonder zichtbaar grondweefsel, aan het stuk, in banden of in de vorm van motieven|-|-
13.99.12.50|Broderies de coton, en pièces, en bandes ou en motifs (à l’exclusion des broderies chimiques, aériennes ou à fond découpé)|Borduurwerk van katoen, aan het stuk, in banden of in de vorm van motieven (excl. zonder zichtbaar grondweefsel)|-|-
13.99.12.70|Broderies, de matières textiles, en pièces, en bandes ou en motifs (à l’exclusion des broderies de coton et des broderies chimiques, aériennes ou à fond découpé)|Borduurwerk van textielstoffen, aan het stuk, in banden of in de vorm van motieven (excl. zonder zichtbaar grondweefsel of van katoen)|-|-
13.99.13.00|Feutres, même imprégnés, enduits, recouverts ou stratifiés, n.c.a.|Vilt, ook indien geïmpregneerd, bekleed, bedekt of met inlagen, n.e.g.|kg|-
13.99.14.00|Tontisses, nœuds et noppes [boutons] de matières textiles|Scheerhaar en noppen van textielstof|kg|-
13.99.15.00|Fils guipés, lames et formes similaires, guipées, en matières textiles synthétiques ou artificielles, d’une largeur apparente <= 5 mm; fils de chenille; fils dits «de chaînette»|Omwoeld garen, aslmede strippen en artikelen van dergelijke vorm, van synthetische of kunstmatige textielstoffen met een schijnbare breedte <= 5 mm, omwoeld; chenillegaren; kettingsteekgaren|kg|-
13.99.16.00|Produits textiles matelassés en pièces (à l’exclusion des broderies)|Gematelasseerde textielproducten aan het stuk (excl. borduurwerk)|m²|-
13.99.19.00|Houppes et houppettes à poudre ou pour l’application d’autres cosmétiques ou produits de toilette|Poederdonsjes en dergelijke artikelen voor het aanbrengen van cosmetica|p/st|-
14.11.10.00|Vêtements en cuir naturel ou reconstitué, y compris les manteaux (à l’exclusion des chapeaux, des chaussures et des accessoires du vêtement)|Kleding van leder of van kunstleder (incl. jassen en overjassen) (excl. kledingtoebehoren, schoeisel en hoofddeksels)|p/st|-
14.12.11.20|Ensembles de travail, de coton ou de fibres synthétiques ou artificielles, pour hommes ou garçonnets|Ensembles van katoen of van synthetische of kunstmatige vezels, voor heren of voor jongens, werk- en bedrijfskleding|p/st|-
14.12.11.30|Vestons et blazers de travail, de coton ou de fibres synthétiques ou artificielles, pour hommes ou garçonnets|Colbertjassen, blazers en dergelijke, van katoen of van synthetische of kunstmatige vezels, voor heren of voor jongens, werk- en bedrijfskleding|p/st|-
14.12.12.40|Pantalons et culottes de travail, de coton ou de fibres synthétiques ou artificielles, pour hommes ou garçonnets|Lange broeken van katoen of van synthetische of kunstmatige vezels, voor heren of voor jongens, werk- en bedrijfskleding|p/st|-
14.12.12.50|Salopettes de travail à bretelles, de coton ou de fibres synthétiques ou artificielles, pour hommes ou garçonnets|Zogenaamde Amerikaanse overalls van katoen of van synthetische of kunstmatige vezels, voor heren of voor jongens, werk- en bedrijfskleding|p/st|-
14.12.21.20|Ensembles de travail, de coton ou de fibres synthétiques ou artificielles, pour femmes ou fillettes|Ensembles van katoen of van synthetische of kunstmatige vezels, voor dames of voor meisjes, werk- en bedrijfskleding|p/st|-
14.12.21.30|Vestes et blazers de travail, de coton ou de fibres synthétiques ou artificielles, pour femmes ou fillettes|Blazers en andere jasjes, van katoen of van synthetische of kunstmatige vezels, voor dames of voor meisjes, werk- en bedrijfskleding|p/st|-
14.12.22.40|Pantalons et culottes de travail, de coton ou de fibres synthétiques ou artificielles, pour femmes ou fillettes|Lange broeken van katoen of van synthetische of kunstmatige vezels, voor dames of voor meisjes, werk- en bedrijfskleding|p/st|-
14.12.22.50|Salopettes de travail à bretelles, de coton ou de fibres synthétiques ou artificielles, pour femmes ou fillettes|Zogenaamde Amerikaanse overalls van katoen of van synthetische of kunstmatige vezels, voor dames of voor meisjes,werk- en bedrijfskleding|p/st|-
14.12.30.13|Autres vêtements de travail, de coton ou de fibres synthétiques ou artificielles, pour hommes ou garçonnets|Andere werk- en bedrijfskleding van katoen of van synthetische of kunstmatige vezels, voor heren of voor jongens|p/st|-
14.12.30.23|Autres vêtements de travail, de coton ou de fibres synthétiques ou artificielles, pour femmes ou fillettes|Andere werk- en bedrijfskleding, van katoen of van synthetische of kunstmatige vezels voor dames of voor meisjes|p/st|-
14.13.11.10|Manteaux, cabans, capes et articles similaires, en bonneterie, pour hommes ou garçonnets (à l’exclusion des vestons et blazers, des anoraks et des coupe-vent)|Overjassen, jekkers, capes en dergelijke artikelen, van brei- of haakwerk, voor heren of voor jongens (excl. colbertjassen, blazers en dergelijke, anoraks, blousons en dergelijke)|p/st|-
14.13.11.20|Gilets, anoraks, blousons de ski, coupe-vent et articles similaires, en bonneterie, pour hommes ou garçonnets (à l’exclusion des vestons et blazers)|Vesten, anoraks, blousons en dergelijke artikelen, van brei- of haakwerk, voor heren of voor jongens (excl. colbertjasjes en blazers)|p/st|-
14.13.12.30|Vestons et blazers, en bonneterie, pour hommes ou garçonnets|Colbertjassen, blazers en dergelijke, van brei- of haakwerk, voor heren of voor jongens|p/st|-
14.13.12.60|Costumes, complets ou ensembles, en bonneterie, pour hommes ou garçonnets|Kostuums en ensembles, van brei- of haakwerk, voor heren of voor jongens|p/st|-
14.13.12.70|Pantalons, culottes, shorts et salopettes à bretelles, en bonneterie, pour hommes ou garçonnets|Lange en korte broeken en zogenaamde Amerikaanse overalls, van brei- of haakwerk, voor heren of voor jongens|p/st|-
14.13.13.10|Manteaux, cabans, capes et articles similaires, en bonneterie, pour femmes ou fillettes (à l’exclusion des vestes et blazers)|Mantels, capes en dergelijke artikelen, van brei- of haakwerk, voor dames of voor meisjes (excl. blazers en andere jasjes)|p/st|-
14.13.13.20|Gilets, anoraks, blousons de ski, coupe-vent et articles similaires, en bonneterie, pour femmes ou fillettes (à l’exclusion des vestes et blazers)|Vesten, anoraks, blousons en dergelijke artikelen, van brei- of haakwerk, voor dames of voor meisjes (excl. blazers en andere jasjes)|p/st|-
14.13.14.30|Vestes et blazers, en bonneterie, pour femmes ou fillettes|Blazers en andere jasjes, van brei- of haakwerk, voor dames of voor meisjes|p/st|-
14.13.14.60|Costumes-tailleurs et ensembles, en bonneterie, pour femmes ou fillettes|Mantelpakken, broekpakken en ensembles, van brei- of haakwerk, voor dames of voor meisjes|p/st|-
14.13.14.70|Robes, en bonneterie, pour femmes ou fillettes|Japonnen van brei- of haakwerk, voor dames of voor meisjes|p/st|-
14.13.14.80|Jupes et jupes-culottes, en bonneterie, pour femmes ou fillettes|Rokken en broekrokken, van brei- of haakwerk, voor dames of voor meisjes|p/st|-
14.13.14.90|Pantalons, culottes, shorts, salopettes à bretelles, en bonneterie, pour femmes ou fillettes|Lange en korte broeken en zogenaamde Amerikaanse overalls, van brei- of haakwerk, voor dames of voor meisjes|p/st|-
14.13.21.15|Imperméables, manteaux, cabans, capes, etc., pour hommes ou garçonnets|Overjassen, regenjassen en dergelijke artikelen, voor heren of voor jongens|p/st|-
14.13.21.30|Gilets, anoraks, blousons de ski, coupe-vent et articles similaires, de matières textiles, pour hommes ou garçonnets (à l’exclusion des vestons et blazers, des articles en bonneterie ainsi que des articles imprégnés, enduits, recouverts, stratifiés ou caoutchoutés)|Vesten, anoraks, blousons en dergelijke artikelen, voor heren of voor jongens (excl. colbertjassen, blazers en dergelijke, brei- of haakwerk, en kleding die is geïmpregneerd, bekleed, bedekt, met inlagen of gegummeerd)|p/st|-
14.13.22.00|Costumes, complets ou ensembles, pour hommes ou garçonnets (à l’exclusion des articles en bonneterie)|Kostuums en ensembles, voor heren of voor jongens (excl. brei- of haakwerk)|p/st|-
14.13.23.00|Vestons et blazers, pour hommes ou garçonnets (à l’exclusion des articles en bonneterie)|Colbertjassen, blazers en dergelijke, voor heren of voor jongens (excl. brei- of haakwerk)|p/st|-
14.13.24.42|Pantalons et culottes, en tissus dits «denim», pour hommes ou garçonnets (à l’exclusion des vêtements de travail)|Lange broeken van denim, voor heren of voor jongens (excl. werk- en bedrijfskleding)|p/st|-
14.13.24.44|Pantalons, culottes et shorts, de laine ou de poils fins, pour hommes ou garçonnets (à l’exclusion des articles en bonneterie et des vêtements de travail)|Lange en korte broeken, van wol of fijn haar, voor heren of voor jongens (excl. brei- of haakwerk, werk- en bedrijfskleding)|p/st|-
14.13.24.45|Pantalons et culottes, de fibres synthétiques ou artificielles, pour hommes ou garçonnets (à l’exclusion des articles en bonneterie et des vêtements de travail)|Lange broeken van synthetische of kunstmatige vezels, voor heren of voor jongens (excl. brei- of haakwerk, werk- en bedrijfskleding)|p/st|-
14.13.24.48|Pantalons et culottes, de coton, pour hommes ou garçonnets (à l’exclusion des articles en tissus dits «denim» et en bonneterie)|Lange broeken van katoen, voor heren of voor jongens (excl. denim, brei- of haakwerk)|p/st|-
14.13.24.49|Pantalons et culottes, shorts et salopettes à bretelles, pour hommes ou garçonnets (à l’exclusion des articles en bonneterie et des articles de laine, de coton et de fibres synthétiques ou artificielles)|Lange en korte broeken en zogenaamde Amerikaanse overalls, voor heren of voor jongens (excl. die van wol, katoen en synthetische of kunstmatige vezels, en excl. brei- of haakwerk)|p/st|-
14.13.24.55|Salopettes à bretelles, pour hommes ou garçonnets (à l’exclusion des articles en bonneterie et des vêtements de travail)|Zogenaamde Amerikaanse overalls voor heren of voor jongens (excl. brei- of haakwerk, werk- en bedrijfskleding)|p/st|-
