Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Te voet (%),Fiets (%),Openbaar vervoer (%),Auto (%),Andere (%)
 Herk-De-Stad ,71024,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.05,0.09,0.79,0.03
 Herk-De-Stad ,71024,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.1,0.1,0.73,0.04
 Herne ,23032,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.07,0.01,0.31,0.56,0.04
 Herne ,23032,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.02,0.26,0.67,0.03
 Herselt ,13013,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.12,0.09,0.74,0.04
 Herselt ,13013,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.12,0.15,0.71,0.01
 Herzele ,41027,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.07,0.18,0.7,0.02
 Herzele ,41027,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.04,0.21,0.72,0.02
 Heusden-Zolder ,71070,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.11,0.09,0.75,0.02
 Heusden-Zolder ,71070,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.11,0.09,0.76,0.03
 Heuvelland ,33039,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.06,0.12,0.73,0.04
 Heuvelland ,33039,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.05,0.08,0.11,0.73,0.03
 Hoegaarden ,24041,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.04,0.21,0.69,0.04
 Hoegaarden ,24041,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.13,0.2,0.65,0.01
 Hoeilaart ,23033,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.07,0.22,0.6,0.06
 Hoeilaart ,23033,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.09,0.18,0.66,0.04
 Hoeselt ,73032,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.05,0.1,0.76,0.05
 Hoeselt ,73032,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.08,0.06,0.83,0.02
 Holsbeek ,24043,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.16,0.2,0.57,0.03
 Holsbeek ,24043,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.23,0.16,0.57,0.03
 Hooglede ,36006,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.14,0.1,0.66,0.05
 Hooglede ,36006,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.15,0.07,0.75,0.01
 Hoogstraten ,13014,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.07,0.22,0.08,0.6,0.04
 Hoogstraten ,13014,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.23,0.11,0.61,0.02
 Horebeke ,45062,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.04,0.2,0.68,0.04
 Horebeke ,45062,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.07,0.18,0.7,0.04
 Houthalen-Helchteren ,72039,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.09,0.13,0.7,0.04
 Houthalen-Helchteren ,72039,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.09,0.08,0.78,0.05
 Houthulst ,32006,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.16,0.1,0.68,0.02
 Houthulst ,32006,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.1,0.1,0.76,0.02
 Hove ,11021,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.27,0.19,0.51,0.02
 Hove ,11021,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.35,0.13,0.48,0.03
 Huldenberg ,24045,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.05,0.14,0.75,0.05
 Huldenberg ,24045,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.06,0.12,0.77,0.03
 Hulshout ,13016,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.1,0.14,0.69,0.04
 Hulshout ,13016,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.12,0.13,0.68,0.04
 Ichtegem ,35006,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.11,0.08,0.7,0.07
 Ichtegem ,35006,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.11,0.12,0.73,0.04
 Ieper ,33011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.08,0.23,0.07,0.6,0.03
 Ieper ,33011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.22,0.11,0.63,0.02
 Ingelmunster ,36007,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.1,0.13,0.7,0.02
 Ingelmunster ,36007,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.14,0.1,0.73,0.02
 Izegem ,36008,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.09,0.18,0.08,0.62,0.04
 Izegem ,36008,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.21,0.09,0.67,0.02
 Jabbeke ,31012,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.13,0.11,0.68,0.04
 Jabbeke ,31012,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.15,0.09,0.7,0.05
 Kalmthout ,11022,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.16,0.18,0.57,0.05
 Kalmthout ,11022,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.17,0.21,0.55,0.04
 Kampenhout ,23038,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.07,0.17,0.71,0.03
 Kampenhout ,23038,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.1,0.12,0.75,0.03
 Kapellen ,11023,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.14,0.16,0.63,0.04
 Kapellen ,11023,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.23,0.2,0.53,0.03
 Kapelle-Op-Den-Bos ,23039,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.12,0.12,0.69,0.03
 Kapelle-Op-Den-Bos ,23039,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.17,0.14,0.62,0.05
 Kaprijke ,43007,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.16,0.06,0.63,0.1
 Kaprijke ,43007,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.14,0.11,0.72,0.02
 Kasterlee ,13017,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.14,0.12,0.65,0.04
 Kasterlee ,13017,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.19,0.12,0.65,0.03
 Keerbergen ,24048,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.08,0.16,0.69,0.05
 Keerbergen ,24048,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.08,0.16,0.73,0.01
 Kinrooi ,72018,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.14,0.07,0.71,0.04
 Kinrooi ,72018,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.14,0.04,0.77,0.03
 Kluisbergen ,45060,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.07,0.12,0.73,0.03
 Kluisbergen ,45060,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.07,0.12,0.78,0.02
 Knesselare ,44029,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.09,0.13,0.73,0.02
 Knokke-Heist ,31043,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.07,0.15,0.18,0.58,0.01
 Knokke-Heist ,31043,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.05,0.12,0.15,0.65,0.03
 Koekelare ,32010,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.08,0.08,0.75,0.05
 Koekelare ,32010,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.06,0.07,0.84,0.02
 Koksijde ,38014,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.13,0.15,0.68,0.01
 Koksijde ,38014,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.15,0.18,0.64,0.03
 Kontich ,11024,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.22,0.18,0.55,0.02
 Kontich ,11024,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.24,0.14,0.59,0.04
 Kortemark ,32011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.12,0.11,0.67,0.06
 Kortemark ,32011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.09,0.13,0.74,0.03
 Kortenaken ,24054,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.04,0.13,0.75,0.05
 Kortenaken ,24054,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.08,0.12,0.77,0.01
 Kortenberg ,24055,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.08,0.19,0.65,0.03
 Kortenberg ,24055,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.12,0.22,0.62,0.03
 Kortessem ,73040,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.04,0.07,0.87,0.01
 Kortessem ,73040,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.05,0.08,0.84,0.01
 Kortrijk ,34022,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2014,0.03,0.23,0.12,0.59,0.02
 Kortrijk ,34022,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.21,0.14,0.58,0.03
 Kortrijk ,34022,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.23,0.12,0.61,0.02
 Kraainem ,23099,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.09,0.32,0.51,0.04
 Kraainem ,23099,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.09,0.31,0.56,0.02
 Kruibeke ,46013,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.19,0.13,0.58,0.07
 Kruibeke ,46013,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.26,0.08,0.6,0.05
 Kruisem ,45068,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.08,0.13,0.74,0.04
 Kruishoutem ,45017,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.07,0.1,0.78,0.01
 Kuurne ,34023,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.26,0.1,0.56,0.06
 Kuurne ,34023,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.2,0.12,0.67,0.0
 Laakdal ,13053,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.1,0.08,0.76,0.04
 Laakdal ,13053,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.17,0.08,0.72,0.02
 Laarne ,42010,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.15,0.09,0.67,0.05
 Laarne ,42010,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.09,0.11,0.75,0.03
 Lanaken ,73042,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.09,0.07,0.76,0.06
 Lanaken ,73042,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.11,0.05,0.82,0.02
 Landen ,24059,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.09,0.03,0.29,0.56,0.03
 Landen ,24059,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.04,0.03,0.33,0.58,0.03
 Langemark-Poelkapelle ,33040,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.07,0.04,0.83,0.03
 Langemark-Poelkapelle ,33040,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.09,0.1,0.77,0.02
 Lebbeke ,42011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.15,0.2,0.59,0.03
 Lebbeke ,42011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.12,0.26,0.58,0.03
 Lede ,41034,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.07,0.22,0.64,0.05
 Lede ,41034,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.12,0.31,0.55,0.01
 Ledegem ,36010,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.13,0.11,0.71,0.03
 Ledegem ,36010,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.15,0.06,0.74,0.04
 Lendelede ,34025,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.15,0.05,0.7,0.05
 Lendelede ,34025,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.11,0.07,0.78,0.03
 Lennik ,23104,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.11,0.19,0.63,0.04
 Lennik ,23104,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.04,0.09,0.14,0.71,0.01
 Leopoldsburg ,71034,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.13,0.12,0.64,0.07
 Leopoldsburg ,71034,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.14,0.14,0.68,0.03
 Leuven ,24062,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2014,0.07,0.31,0.24,0.35,0.03
 Leuven ,24062,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.07,0.32,0.26,0.33,0.02
 Leuven ,24062,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.06,0.38,0.24,0.31,0.01
 Lichtervelde ,36011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.16,0.19,0.59,0.03
 Lichtervelde ,36011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.19,0.14,0.64,0.01
 Liedekerke ,23044,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.06,0.29,0.57,0.05
 Liedekerke ,23044,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.08,0.3,0.54,0.04
 Lier ,12021,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.11,0.2,0.16,0.49,0.04
 Lier ,12021,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.23,0.26,0.47,0.02
 Lierde ,45063,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.04,0.18,0.73,0.04
 Lierde ,45063,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.08,0.21,0.66,0.03
 Lievegem ,44085,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.2,0.1,0.65,0.03
 Lille ,13019,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.13,0.15,0.67,0.02
 Lille ,13019,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.14,0.11,0.71,0.03
 Linkebeek ,23100,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.07,0.01,0.28,0.51,0.13
 Linkebeek ,23100,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.14,0.4,0.41,0.03
 Lint ,11025,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.22,0.19,0.55,0.02
 Lint ,11025,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.29,0.15,0.54,0.01
 Linter ,24133,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.04,0.12,0.77,0.05
 Linter ,24133,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.08,0.22,0.65,0.03
 Lochristi ,44034,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.14,0.1,0.71,0.03
 Lochristi ,44034,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.17,0.12,0.7,0.01
 Lokeren ,46014,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.2,0.15,0.59,0.01
 Lokeren ,46014,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.04,0.21,0.25,0.49,0.01
 Lommel ,72020,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.15,0.12,0.67,0.03
 Lommel ,72020,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.22,0.11,0.64,0.02
 Londerzeel ,23045,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.06,0.17,0.68,0.03
 Londerzeel ,23045,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.16,0.13,0.64,0.03
 Lo-Reninge ,32030,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.11,0.07,0.06,0.72,0.04
 Lo-Reninge ,32030,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.09,0.13,0.74,0.03
 Lovendegem ,44036,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.14,0.11,0.66,0.07
 Lubbeek ,24066,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.12,0.2,0.6,0.05
 Lubbeek ,24066,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.21,0.16,0.56,0.07
 Lummen ,71037,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.08,0.09,0.8,0.02
 Lummen ,71037,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.08,0.12,0.76,0.02
 Maarkedal ,45064,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.03,0.14,0.77,0.03
 Maarkedal ,45064,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.08,0.14,0.76,0.02
 Maaseik ,72021,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.15,0.07,0.71,0.03
 Maaseik ,72021,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.11,0.07,0.78,0.04
 Maasmechelen ,73107,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.07,0.11,0.74,0.04
 Maasmechelen ,73107,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.06,0.09,0.83,0.02
 Machelen ,23047,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.04,0.26,0.58,0.06
 Machelen ,23047,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.04,0.08,0.18,0.68,0.03
 Maldegem ,43010,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.2,0.07,0.67,0.02
 Maldegem ,43010,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.1,0.08,0.77,0.03
 Malle ,11057,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.19,0.14,0.58,0.04
 Malle ,11057,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.22,0.1,0.63,0.03
 Mechelen ,12025,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2014,0.06,0.15,0.27,0.49,0.02
 Mechelen ,12025,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.21,0.29,0.46,0.0
 Mechelen ,12025,ja,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.2,0.21,0.56,0.02
 Meerhout ,13021,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.15,0.1,0.66,0.03
 Meerhout ,13021,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.2,0.07,0.68,0.04
 Meeuwen-Gruitrode ,72040,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.07,0.1,0.75,0.03
 Meise ,23050,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.05,0.04,0.17,0.71,0.03
 Meise ,23050,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.12,0.11,0.72,0.03
 Melle ,44040,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.18,0.27,0.49,0.05
 Melle ,44040,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.28,0.15,0.55,0.02
 Menen ,34027,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.08,0.19,0.1,0.62,0.01
 Menen ,34027,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.03,0.16,0.11,0.67,0.04
 Merchtem ,23052,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.09,0.19,0.66,0.03
 Merchtem ,23052,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.14,0.19,0.63,0.02
 Merelbeke ,44043,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.19,0.2,0.54,0.03
 Merelbeke ,44043,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.28,0.15,0.55,0.02
 Merksplas ,13023,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.08,0.27,0.08,0.53,0.04
 Merksplas ,13023,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.25,0.09,0.63,0.01
 Mesen ,33016,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.02,0.1,0.75,0.11
 Mesen ,33016,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.03,0.06,0.88,0.01
 Meulebeke ,37007,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.07,0.12,0.11,0.67,0.03
 Meulebeke ,37007,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.13,0.1,0.75,0.02
 Middelkerke ,35011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.07,0.15,0.66,0.08
 Middelkerke ,35011,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.05,0.13,0.17,0.63,0.01
 Moerbeke ,44045,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.1,0.1,0.76,0.03
 Moerbeke ,44045,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.18,0.11,0.67,0.04
 Mol ,13025,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.19,0.1,0.63,0.05
 Mol ,13025,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.21,0.11,0.65,0.04
 Moorslede ,36012,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.12,0.1,0.69,0.04
 Moorslede ,36012,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.13,0.07,0.78,0.01
 Mortsel ,11029,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.06,0.34,0.21,0.36,0.04
 Mortsel ,11029,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.43,0.18,0.35,0.02
 Nazareth ,44048,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.02,0.08,0.2,0.66,0.03
 Nazareth ,44048,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.15,0.21,0.62,0.03
 Neerpelt ,72025,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.19,0.08,0.65,0.03
 Nevele ,44049,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.03,0.12,0.21,0.62,0.03
 Niel ,11030,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.01,0.15,0.09,0.69,0.06
 Niel ,11030,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.01,0.23,0.12,0.6,0.04
 Nieuwerkerken ,71045,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.04,0.06,0.08,0.79,0.03
 Nieuwerkerken ,71045,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.0,0.07,0.08,0.82,0.03
 Nieuwpoort ,38016,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2017,0.16,0.14,0.15,0.52,0.03
 Nieuwpoort ,38016,nee,Verplaatsingen woon-werk/woon-school: dominant vervoersmiddel,2020,0.02,0.19,0.17,0.58,0.04
