Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Aantal zeer langdurig niet-werkende werkzoekenden,Aantal niet-werkende werkzoekenden,Procent
Bornem,12007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,23,82,28.04878
Bornem,12007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,België,148,401,36.90773
Bornem,12007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,EU,9,30,30.0
Bornem,12007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,24,87,27.58621
Bornem,12007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,België,134,364,36.81319
Bornem,12007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,EU,10,31,32.25806
Bornem,12007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,19,82,23.17073
Bornem,12007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,België,138,394,35.02538
Bornem,12007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,EU,9,31,29.03226
Bornem,12007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,26,90,28.88889
Bornem,12007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,België,145,359,40.38997
Bornem,12007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,EU,9,31,29.03226
Bornem,12007,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,30,87,34.48276
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,België,98,408,24.01961
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,EU,2,11,18.18182
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,9,46,19.56522
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,België,108,438,24.65753
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,EU,3,17,17.64706
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,9,63,14.28571
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,België,128,431,29.69838
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,EU,3,15,20.0
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,10,67,14.92537
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,België,140,412,33.98058
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,EU,4,13,30.76923
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,14,71,19.71831
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,België,136,445,30.5618
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,EU,3,16,18.75
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,15,67,22.38806
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,België,141,416,33.89423
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,EU,5,29,17.24138
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,16,75,21.33333
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,België,143,407,35.13514
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,EU,5,30,16.66667
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,26,88,29.54545
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,België,134,392,34.18367
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,EU,8,32,25.0
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,26,96,27.08333
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,België,120,365,32.87671
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,EU,6,21,28.57143
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,33,95,34.73684
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,België,110,307,35.83062
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,EU,4,29,13.7931
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,27,90,30.0
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,België,111,307,36.15635
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,EU,3,35,8.57143
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,20,91,21.97802
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,België,121,337,35.90504
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,EU,8,43,18.60465
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,23,87,26.43678
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,België,128,303,42.24422
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,EU,10,41,24.39024
Duffel,12009,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,25,82,30.4878
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,België,377,1228,30.70033
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,EU,8,39,20.51282
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,12,69,17.3913
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,België,378,1258,30.04769
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,EU,7,43,16.27907
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,11,78,14.10256
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,België,385,1184,32.51689
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,EU,7,41,17.07317
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,9,79,11.39241
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,België,347,1155,30.04329
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,EU,6,40,15.0
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,13,80,16.25
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,België,312,1152,27.08333
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,EU,7,46,15.21739
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,13,87,14.94253
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,België,346,1142,30.29772
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,EU,8,45,17.77778
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,19,100,19.0
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,België,352,1119,31.45666
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,EU,11,49,22.44898
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,21,111,18.91892
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,België,335,1047,31.99618
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,EU,12,51,23.52941
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,23,114,20.17544
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,België,339,995,34.07035
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,EU,14,54,25.92593
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,28,114,24.5614
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,België,328,922,35.57484
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,EU,15,60,25.0
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,25,104,24.03846
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,België,297,840,35.35714
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,EU,13,45,28.88889
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,28,109,25.68807
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,België,317,860,36.86047
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,EU,14,56,25.0
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,32,128,25.0
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,België,310,759,40.84321
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,EU,16,60,26.66667
Heist-op-den-Berg,12014,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,34,123,27.64228
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,België,208,973,21.37718
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,EU,7,42,16.66667
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,26,208,12.5
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,België,234,1029,22.74052
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,EU,9,56,16.07143
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,39,259,15.05792
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,België,274,978,28.01636
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,EU,9,60,15.0
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,55,290,18.96552
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,België,279,964,28.94191
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,EU,12,58,20.68966
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,77,308,25.0
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,België,290,1020,28.43137
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,EU,13,69,18.84058
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,81,315,25.71429
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,België,316,1001,31.56843
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,EU,17,87,19.54023
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,71,309,22.97735
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,België,335,996,33.63454
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,EU,18,92,19.56522
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,72,319,22.57053
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,België,346,959,36.07925
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,EU,21,111,18.91892
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,90,342,26.31579
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,België,342,888,38.51351
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,EU,21,98,21.42857
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,98,356,27.52809
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,België,308,808,38.11881
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,EU,27,98,27.55102
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,98,345,28.4058
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,België,298,776,38.40206
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,EU,21,102,20.58824
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,104,362,28.72928
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,België,294,805,36.52174
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,EU,21,98,21.42857
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,118,420,28.09524
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,België,290,714,40.61625
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,EU,23,97,23.71134
Lier,12021,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,139,417,33.33333
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,België,485,2071,23.41864
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,EU,30,164,18.29268
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,345,1795,19.22006
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,België,505,2088,24.18582
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,EU,32,169,18.93491
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,413,1920,21.51042
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,België,501,1895,26.43799
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,EU,34,164,20.73171
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,453,1893,23.93027
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,België,490,1771,27.66798
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,EU,37,170,21.76471
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,452,1795,25.18106
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,België,473,1854,25.51241
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,EU,38,195,19.48718
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,498,1875,26.56
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,België,488,1895,25.75198
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,EU,41,229,17.90393
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,542,1911,28.36211
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,België,536,1911,28.04814
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,EU,43,238,18.06723
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,571,1897,30.10016
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,België,540,1797,30.05008
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,EU,53,225,23.55556
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,624,1849,33.74797
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,België,547,1726,31.69177
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,EU,49,231,21.21212
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,620,1820,34.06593
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,België,518,1611,32.15394
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,EU,48,194,24.74227
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,582,1694,34.35655
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,België,508,1497,33.93454
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,EU,52,178,29.21348
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,550,1618,33.99258
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,België,519,1614,32.15613
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,EU,45,203,22.16749
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,544,1733,31.39065
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,België,513,1447,35.45266
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,EU,46,185,24.86486
Mechelen,12025,Ja,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,558,1521,36.68639
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,België,174,652,26.68712
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,EU,5,17,29.41176
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,1,18,5.55556
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,België,196,670,29.25373
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,EU,4,16,25.0
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,2,23,8.69565
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,België,182,608,29.93421
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,EU,3,13,23.07692
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,4,29,13.7931
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,België,172,552,31.15942
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,EU,4,20,20.0
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,4,35,11.42857
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,België,172,567,30.3351
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,EU,5,22,22.72727
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,4,43,9.30233
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,België,190,611,31.09656
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,EU,5,24,20.83333
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,7,50,14.0
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,België,212,592,35.81081
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,EU,5,20,25.0
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,10,46,21.73913
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,België,211,546,38.64469
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,EU,4,16,25.0
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,11,50,22.0
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,België,208,532,39.09774
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,EU,4,22,18.18182
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,15,49,30.61224
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,België,201,487,41.2731
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,EU,6,18,33.33333
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,18,48,37.5
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,België,181,437,41.41876
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,EU,6,20,30.0
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,16,50,32.0
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,België,182,466,39.05579
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,EU,8,29,27.58621
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,14,63,22.22222
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,België,164,425,38.58824
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,EU,6,23,26.08696
Nijlen,12026,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,14,49,28.57143
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,België,113,418,27.03349
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,EU,1,13,7.69231
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,2,20,10.0
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,België,117,463,25.26998
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,EU,2,15,13.33333
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,1,23,4.34783
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,België,124,417,29.73621
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,EU,4,17,23.52941
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,4,29,13.7931
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,België,116,388,29.89691
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,EU,5,15,33.33333
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,5,45,11.11111
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,België,103,388,26.54639
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,EU,5,20,25.0
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,5,52,9.61538
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,België,105,388,27.06186
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,EU,3,23,13.04348
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,10,45,22.22222
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,België,112,386,29.01554
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,EU,6,27,22.22222
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,11,44,25.0
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,België,122,362,33.70166
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,EU,7,27,25.92593
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,10,48,20.83333
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,België,117,362,32.32044
Putte,12029,Nee,"Zeer langdurige niet-werkende werkzoekenden, naar herkomst",2017,EU,7,29,24.13793
