Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Herkomst,Aantal langdurig niet-werkende werkzoekenden,Aantal niet-werkende werkzoekenden,Procent
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,EU,7,26,26.92308
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,8,25,32.0
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,België,176,405,43.45679
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,EU,10,26,38.46154
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,8,26,30.76923
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,België,177,404,43.81188
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,EU,8,30,26.66667
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,9,31,29.03226
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,België,180,402,44.77612
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,EU,15,31,48.3871
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,11,34,32.35294
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,België,200,404,49.50495
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,EU,15,41,36.58537
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,15,32,46.875
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,België,203,414,49.03382
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,EU,17,43,39.53488
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,15,32,46.875
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,België,202,394,51.26904
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,EU,20,45,44.44444
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,18,41,43.90244
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,België,195,381,51.1811
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,EU,21,38,55.26316
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,20,39,51.28205
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,België,186,355,52.39437
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,EU,15,28,53.57143
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,17,34,50.0
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,België,194,372,52.15054
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,EU,17,33,51.51515
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,18,44,40.90909
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,België,201,335,60.0
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,EU,16,31,51.6129
Schilde,11039,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,22,44,50.0
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,België,373,918,40.63181
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,EU,21,59,35.59322
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,49,140,35.0
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,België,444,968,45.86777
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,EU,21,62,33.87097
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,63,158,39.87342
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,België,435,986,44.11765
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,EU,27,63,42.85714
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,67,170,39.41176
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,België,433,922,46.96312
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,EU,27,60,45.0
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,76,166,45.78313
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,België,435,952,45.69328
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,EU,29,71,40.84507
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,78,176,44.31818
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,België,465,980,47.44898
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,EU,29,73,39.72603
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,90,196,45.91837
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,België,490,959,51.09489
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,EU,33,75,44.0
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,100,210,47.61905
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,België,498,908,54.84581
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,EU,36,86,41.86047
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,105,221,47.51131
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,België,457,860,53.13953
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,EU,40,89,44.94382
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,113,221,51.13122
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,België,437,778,56.16967
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,EU,39,76,51.31579
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,106,208,50.96154
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,België,388,716,54.18994
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,EU,42,81,51.85185
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,102,211,48.34123
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,België,384,729,52.6749
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,EU,46,92,50.0
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,115,232,49.56897
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,België,383,640,59.84375
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,EU,46,85,54.11765
Schoten,11040,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,128,221,57.91855
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,België,189,496,38.10484
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,EU,19,41,46.34146
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,18,48,37.5
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,België,249,534,46.62921
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,EU,18,37,48.64865
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,22,51,43.13725
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,België,228,494,46.15385
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,EU,15,39,38.46154
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,20,42,47.61905
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,België,236,482,48.96266
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,EU,16,36,44.44444
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,17,42,40.47619
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,België,248,516,48.06202
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,EU,20,42,47.61905
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,26,55,47.27273
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,België,259,538,48.14126
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,EU,20,45,44.44444
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,32,57,56.14035
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,België,271,514,52.72374
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,EU,23,38,60.52632
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,29,60,48.33333
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,België,275,500,55.0
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,EU,18,41,43.90244
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,40,71,56.33803
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,België,252,464,54.31034
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,EU,20,39,51.28205
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,46,72,63.88889
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,België,239,435,54.94253
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,EU,18,37,48.64865
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,31,61,50.81967
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,België,220,406,54.18719
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,EU,17,39,43.58974
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,29,62,46.77419
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,België,214,392,54.59184
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,EU,21,43,48.83721
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,38,77,49.35065
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,België,201,357,56.30252
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,EU,25,40,62.5
Stabroek,11044,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,40,71,56.33803
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,België,77,222,34.68468
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,EU,1,12,8.33333
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,6,24,25.0
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,België,102,235,43.40426
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,EU,2,17,11.76471
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,8,34,23.52941
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,België,96,237,40.50633
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,EU,3,13,23.07692
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,8,33,24.24242
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,België,96,215,44.65116
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,EU,4,13,30.76923
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,8,37,21.62162
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,België,99,227,43.61233
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,EU,4,15,26.66667
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,12,37,32.43243
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,België,99,230,43.04348
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,EU,6,21,28.57143
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,22,48,45.83333
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,België,106,239,44.35146
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,EU,9,28,32.14286
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,25,51,49.01961
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,België,115,221,52.0362
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,EU,12,27,44.44444
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,31,56,55.35714
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,België,104,195,53.33333
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,EU,12,25,48.0
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,33,60,55.0
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,België,103,213,48.35681
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,EU,11,25,44.0
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,33,67,49.25373
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,België,103,192,53.64583
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,EU,12,23,52.17391
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,34,76,44.73684
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,België,108,191,56.5445
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,EU,10,25,40.0
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,36,76,47.36842
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,België,102,164,62.19512
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,EU,16,29,55.17241
Wijnegem,11050,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,44,81,54.32099
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,België,95,276,34.42029
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,EU,6,18,33.33333
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,16,52,30.76923
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,België,113,297,38.04714
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,EU,5,18,27.77778
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,21,58,36.2069
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,België,107,280,38.21429
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,EU,4,18,22.22222
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,24,64,37.5
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,België,113,273,41.39194
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,EU,9,23,39.13043
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,22,64,34.375
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,België,123,284,43.30986
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,EU,13,33,39.39394
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,24,65,36.92308
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,België,120,278,43.16547
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,EU,15,38,39.47368
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,32,78,41.02564
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,België,127,280,45.35714
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,EU,16,32,50.0
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,39,81,48.14815
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,België,124,270,45.92593
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,EU,12,24,50.0
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,45,94,47.87234
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,België,120,262,45.80153
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,EU,10,28,35.71429
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,50,91,54.94505
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,België,114,249,45.78313
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,EU,13,31,41.93548
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,51,90,56.66667
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,België,127,248,51.20968
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,EU,14,31,45.16129
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,50,92,54.34783
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,België,139,267,52.05993
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,EU,14,36,38.88889
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,52,99,52.52525
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,België,141,231,61.03896
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,EU,19,37,51.35135
Wommelgem,11052,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,57,104,54.80769
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,België,157,416,37.74038
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,EU,12,37,32.43243
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,8,31,25.80645
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,België,180,417,43.16547
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,EU,13,43,30.23256
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,12,33,36.36364
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,België,181,425,42.58824
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,EU,24,49,48.97959
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,13,36,36.11111
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,België,181,410,44.14634
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,EU,22,51,43.13725
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,15,39,38.46154
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,België,202,453,44.59161
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,EU,23,68,33.82353
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,15,48,31.25
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,België,224,509,44.00786
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,EU,34,91,37.36264
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,24,43,55.81395
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,België,247,500,49.4
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,EU,45,92,48.91304
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,Niet-EU,20,43,46.51163
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,België,233,451,51.66297
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,EU,46,88,52.27273
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2016,Niet-EU,22,48,45.83333
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,België,230,455,50.54945
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,EU,38,79,48.10127
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2017,Niet-EU,27,56,48.21429
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,België,224,430,52.09302
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,EU,33,78,42.30769
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2018,Niet-EU,27,51,52.94118
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,België,230,420,54.7619
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,EU,36,74,48.64865
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2019,Niet-EU,27,57,47.36842
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,België,228,407,56.01966
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,EU,39,88,44.31818
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2020,Niet-EU,30,57,52.63158
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,België,225,360,62.5
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,EU,38,78,48.71795
Wuustwezel,11053,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2021,Niet-EU,30,49,61.22449
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,België,116,290,40.0
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,EU,4,11,36.36364
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2009,Niet-EU,2,12,16.66667
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,België,134,310,43.22581
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,EU,3,11,27.27273
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2010,Niet-EU,2,18,11.11111
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,België,126,294,42.85714
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,EU,3,10,30.0
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2011,Niet-EU,5,23,21.73913
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,België,129,276,46.73913
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,EU,2,9,22.22222
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2012,Niet-EU,8,28,28.57143
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,België,124,296,41.89189
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,EU,2,9,22.22222
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2013,Niet-EU,13,32,40.625
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,België,143,299,47.82609
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,EU,3,10,30.0
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2014,Niet-EU,13,28,46.42857
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,België,158,315,50.15873
Zandhoven,11054,Nee,"Langdurig niet-werkende werkzoekenden, naar herkomst",2015,EU,7,15,46.66667
