Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Geslacht,Aantal meerderjarige nieuwkomers naar geslacht,Aantal meerderjarige nieuwkomers,Procent
Geel,13008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,132,236,0.559322
Geel,13008,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,104,236,0.440678
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,8,22,0.363636
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,14,22,0.636364
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,15,25,0.6
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,10,25,0.4
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,13,26,0.5
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,13,26,0.5
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,18,29,0.62069
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,11,29,0.37931
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,11,22,0.5
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,11,22,0.5
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,11,27,0.407407
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,16,27,0.592593
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,16,29,0.551724
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,13,29,0.448276
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,12,23,0.521739
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,11,23,0.478261
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,15,30,0.5
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,15,30,0.5
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,10,26,0.384615
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,16,26,0.615385
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,7,17,0.411765
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,10,17,0.588235
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,4,10,0.4
Grobbendonk,13010,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,6,10,0.6
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,66,120,0.55
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,54,120,0.45
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,57,117,0.487179
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,60,117,0.512821
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,52,114,0.45614
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,62,114,0.54386
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,59,101,0.584158
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,42,101,0.415842
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,47,101,0.465347
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,54,101,0.534653
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,57,102,0.558824
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,45,102,0.441176
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,70,135,0.518519
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,65,135,0.481481
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,79,139,0.568345
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,60,139,0.431655
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,93,165,0.563636
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,72,165,0.436364
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,86,168,0.511905
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,82,168,0.488095
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,72,140,0.514286
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,68,140,0.485714
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,70,114,0.614035
Herentals,13011,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,44,114,0.385965
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,14,29,0.482759
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,15,29,0.517241
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,23,42,0.547619
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,19,42,0.452381
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,18,43,0.418605
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,25,43,0.581395
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,23,48,0.479167
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,25,48,0.520833
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,5,17,0.294118
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,12,17,0.705882
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,12,31,0.387097
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,19,31,0.612903
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,23,49,0.469388
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,26,49,0.530612
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,18,45,0.4
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,27,45,0.6
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,29,48,0.604167
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,19,48,0.395833
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,20,46,0.434783
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,26,46,0.565217
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,30,52,0.576923
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,22,52,0.423077
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,17,36,0.472222
Herenthout,13012,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,19,36,0.527778
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,23,37,0.621622
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,14,37,0.378378
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,21,47,0.446809
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,26,47,0.553191
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,12,28,0.428571
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,16,28,0.571429
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,8,16,0.5
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,8,16,0.5
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,16,28,0.571429
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,12,28,0.428571
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,14,23,0.608696
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,9,23,0.391304
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,11,16,0.6875
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,5,16,0.3125
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,17,25,0.68
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,8,25,0.32
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,12,25,0.48
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,13,25,0.52
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,20,34,0.588235
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,14,34,0.411765
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,12,24,0.5
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,12,24,0.5
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,21,33,0.636364
Herselt,13013,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,12,33,0.363636
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,200,353,0.566572
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,153,353,0.433428
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,164,299,0.548495
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,135,299,0.451505
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,152,257,0.59144
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,105,257,0.40856
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,137,276,0.496377
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,139,276,0.503623
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,188,365,0.515068
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,177,365,0.484932
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,181,328,0.551829
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,147,328,0.448171
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,183,351,0.521368
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,168,351,0.478632
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,187,332,0.563253
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,145,332,0.436747
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,187,325,0.575385
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,138,325,0.424615
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,190,366,0.519126
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,176,366,0.480874
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,192,323,0.594427
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,131,323,0.405573
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,133,262,0.507634
Hoogstraten,13014,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,129,262,0.492366
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,9,19,0.473684
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,10,19,0.526316
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,16,24,0.666667
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,8,24,0.333333
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,7,16,0.4375
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,9,16,0.5625
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,9,14,0.642857
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,5,14,0.357143
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,9,15,0.6
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,6,15,0.4
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,13,15,0.866667
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,2,15,0.133333
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,11,21,0.52381
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,10,21,0.47619
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,9,18,0.5
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,9,18,0.5
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,12,23,0.521739
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,11,23,0.478261
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,10,17,0.588235
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,7,17,0.411765
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,3,10,0.3
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,7,10,0.7
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,7,18,0.388889
Hulshout,13016,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,11,18,0.611111
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,34,62,0.548387
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,28,62,0.451613
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,19,34,0.558824
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,15,34,0.441176
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,33,61,0.540984
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,28,61,0.459016
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,27,48,0.5625
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,21,48,0.4375
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,22,49,0.44898
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,27,49,0.55102
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,25,50,0.5
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,25,50,0.5
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,38,69,0.550725
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,31,69,0.449275
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,39,63,0.619048
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,24,63,0.380952
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,52,80,0.65
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,28,80,0.35
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,42,78,0.538462
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,36,78,0.461538
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,36,68,0.529412
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,32,68,0.470588
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,20,34,0.588235
Kasterlee,13017,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,14,34,0.411765
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,25,40,0.625
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,15,40,0.375
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,16,30,0.533333
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,14,30,0.466667
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,28,37,0.756757
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,9,37,0.243243
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,22,35,0.628571
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,13,35,0.371429
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,11,23,0.478261
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,12,23,0.521739
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,15,24,0.625
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,9,24,0.375
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,14,31,0.451613
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,17,31,0.548387
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,18,35,0.514286
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,17,35,0.485714
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,20,39,0.512821
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,19,39,0.487179
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,27,52,0.519231
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,25,52,0.480769
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,17,34,0.5
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,17,34,0.5
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,19,30,0.633333
Lille,13019,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,11,30,0.366667
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,14,23,0.608696
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,9,23,0.391304
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,13,28,0.464286
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,15,28,0.535714
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,17,37,0.459459
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,20,37,0.540541
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,18,33,0.545455
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,15,33,0.454545
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,29,44,0.659091
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,15,44,0.340909
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,17,29,0.586207
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,12,29,0.413793
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,23,45,0.511111
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,22,45,0.488889
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,13,32,0.40625
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,19,32,0.59375
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,31,56,0.553571
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,25,56,0.446429
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,36,53,0.679245
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,17,53,0.320755
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,29,43,0.674419
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,14,43,0.325581
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,14,23,0.608696
Meerhout,13021,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,9,23,0.391304
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,22,45,0.488889
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,23,45,0.511111
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,39,58,0.672414
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,19,58,0.327586
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,53,89,0.595506
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,36,89,0.404494
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,28,51,0.54902
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,23,51,0.45098
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,18,42,0.428571
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,24,42,0.571429
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,37,61,0.606557
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,24,61,0.393443
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,35,55,0.636364
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,20,55,0.363636
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,37,60,0.616667
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,23,60,0.383333
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2018,37,64,0.578125
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2018,27,64,0.421875
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2019,35,68,0.514706
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2019,33,68,0.485294
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2020,35,55,0.636364
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2020,20,55,0.363636
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2021,27,47,0.574468
Merksplas,13023,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2021,20,47,0.425532
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2010,107,204,0.52451
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2010,97,204,0.47549
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2011,168,274,0.613139
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2011,106,274,0.386861
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2012,142,243,0.584362
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2012,101,243,0.415638
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2013,101,218,0.463303
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2013,117,218,0.536697
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2014,113,209,0.54067
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2014,96,209,0.45933
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2015,116,225,0.515556
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2015,109,225,0.484444
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2016,139,258,0.53876
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2016,119,258,0.46124
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Mannen,2017,114,229,0.497817
Mol,13025,Nee,"Meerderjarige nieuwkomers, naar geslacht",Vrouwen,2017,115,229,0.502183
