Gemeente,Nis-code,Centrumstad?,Indicator,Jaar,Doelgroep,Aantal meerderjarige nieuwkomers naar doelgroep,Aantal meerderjarige nieuwkomers,Procent
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Nader te bepalen,0,64,0.0
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Rechthebbend,48,64,0.75
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Verplicht           ,16,64,0.25
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Nader te bepalen,3,80,0.0375
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Rechthebbend,66,80,0.825
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Verplicht           ,11,80,0.1375
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,1,83,0.01205
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,3,83,0.03614
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Rechthebbend,65,83,0.78313
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Verplicht           ,14,83,0.16867
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,0,119,0.0
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,2,119,0.01681
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Rechthebbend,100,119,0.84034
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Verplicht           ,17,119,0.14286
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Nader te bepalen,0,68,0.0
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Rechthebbend,58,68,0.85294
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Verplicht           ,10,68,0.14706
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Nader te bepalen,0,62,0.0
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Rechthebbend,53,62,0.85484
Londerzeel,23045,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Verplicht           ,9,62,0.14516
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Nader te bepalen,13,86,0.15116
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Rechthebbend,37,86,0.43023
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Verplicht           ,36,86,0.4186
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Nader te bepalen,16,84,0.19048
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Rechthebbend,45,84,0.53571
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Verplicht           ,23,84,0.27381
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Nader te bepalen,5,64,0.07813
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Rechthebbend,48,64,0.75
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Verplicht           ,11,64,0.17188
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Nader te bepalen,5,80,0.0625
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Rechthebbend,62,80,0.775
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Verplicht           ,13,80,0.1625
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Nader te bepalen,3,72,0.04167
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Rechthebbend,45,72,0.625
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Verplicht           ,24,72,0.33333
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Nader te bepalen,20,149,0.13423
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Rechthebbend,89,149,0.59732
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Verplicht           ,40,149,0.26846
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Nader te bepalen,11,97,0.1134
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Rechthebbend,55,97,0.56701
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Verplicht           ,31,97,0.31959
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,0,127,0.0
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,17,127,0.13386
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Rechthebbend,82,127,0.64567
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Verplicht           ,28,127,0.22047
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,0,110,0.0
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,15,110,0.13636
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Rechthebbend,66,110,0.6
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Verplicht           ,29,110,0.26364
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Nader te bepalen,0,125,0.0
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Rechthebbend,105,125,0.84
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Verplicht           ,20,125,0.16
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Nader te bepalen,0,120,0.0
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Rechthebbend,91,120,0.75833
Machelen,23047,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Verplicht           ,29,120,0.24167
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Nader te bepalen,0,55,0.0
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Rechthebbend,30,55,0.54545
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Verplicht           ,25,55,0.45455
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Nader te bepalen,2,53,0.03774
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Rechthebbend,37,53,0.69811
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Verplicht           ,14,53,0.26415
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Nader te bepalen,2,65,0.03077
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Rechthebbend,49,65,0.75385
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Verplicht           ,14,65,0.21538
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Nader te bepalen,1,62,0.01613
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Rechthebbend,50,62,0.80645
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Verplicht           ,11,62,0.17742
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Nader te bepalen,0,56,0.0
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Rechthebbend,45,56,0.80357
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Verplicht           ,11,56,0.19643
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Nader te bepalen,3,94,0.03191
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Rechthebbend,74,94,0.78723
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Verplicht           ,17,94,0.18085
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Nader te bepalen,4,100,0.04
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Rechthebbend,71,100,0.71
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Verplicht           ,25,100,0.25
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,4,101,0.0396
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,5,101,0.0495
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Rechthebbend,75,101,0.74257
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Verplicht           ,17,101,0.16832
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,1,89,0.01124
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Rechthebbend,70,89,0.78652
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Verplicht           ,17,89,0.19101
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Nader te bepalen,0,85,0.0
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Rechthebbend,69,85,0.81176
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Verplicht           ,16,85,0.18824
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Nader te bepalen,0,73,0.0
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Rechthebbend,53,73,0.72603
Meise,23050,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Verplicht           ,20,73,0.27397
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Nader te bepalen,1,55,0.01818
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Rechthebbend,29,55,0.52727
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Verplicht           ,25,55,0.45455
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Nader te bepalen,1,30,0.03333
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Rechthebbend,21,30,0.7
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Verplicht           ,8,30,0.26667
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Nader te bepalen,4,39,0.10256
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Rechthebbend,30,39,0.76923
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Verplicht           ,5,39,0.12821
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Nader te bepalen,4,60,0.06667
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Rechthebbend,44,60,0.73333
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Verplicht           ,12,60,0.2
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Nader te bepalen,0,30,0.0
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Rechthebbend,23,30,0.76667
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Verplicht           ,7,30,0.23333
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Nader te bepalen,0,80,0.0
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Rechthebbend,64,80,0.8
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Verplicht           ,16,80,0.2
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Nader te bepalen,2,68,0.02941
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Rechthebbend,39,68,0.57353
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Verplicht           ,27,68,0.39706
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,0,85,0.0
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Rechthebbend,66,85,0.77647
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Verplicht           ,19,85,0.22353
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,0,76,0.0
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,1,76,0.01316
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Rechthebbend,62,76,0.81579
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Verplicht           ,13,76,0.17105
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Nader te bepalen,0,86,0.0
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Rechthebbend,63,86,0.73256
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Verplicht           ,23,86,0.26744
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Nader te bepalen,0,84,0.0
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Rechthebbend,68,84,0.80952
Merchtem,23052,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Verplicht           ,16,84,0.19048
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Nader te bepalen,2,30,0.06667
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Rechthebbend,16,30,0.53333
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Verplicht           ,12,30,0.4
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Nader te bepalen,0,30,0.0
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Rechthebbend,20,30,0.66667
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Verplicht           ,10,30,0.33333
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Nader te bepalen,0,31,0.0
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Rechthebbend,24,31,0.77419
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Verplicht           ,7,31,0.22581
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Nader te bepalen,1,16,0.0625
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Rechthebbend,11,16,0.6875
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Verplicht           ,4,16,0.25
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Nader te bepalen,0,26,0.0
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Rechthebbend,22,26,0.84615
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Verplicht           ,4,26,0.15385
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Nader te bepalen,1,53,0.01887
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Rechthebbend,36,53,0.67925
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Verplicht           ,16,53,0.30189
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Nader te bepalen,0,32,0.0
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Rechthebbend,20,32,0.625
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Verplicht           ,12,32,0.375
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,0,38,0.0
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Rechthebbend,29,38,0.76316
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Verplicht           ,9,38,0.23684
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,1,66,0.01515
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,2,66,0.0303
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Rechthebbend,53,66,0.80303
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Verplicht           ,10,66,0.15152
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Nader te bepalen,0,41,0.0
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Rechthebbend,36,41,0.87805
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Verplicht           ,5,41,0.12195
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Nader te bepalen,0,47,0.0
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Rechthebbend,35,47,0.74468
Opwijk,23060,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Verplicht           ,12,47,0.25532
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Nader te bepalen,28,176,0.15909
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Rechthebbend,118,176,0.67045
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Verplicht           ,30,176,0.17045
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Nader te bepalen,22,192,0.11458
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Rechthebbend,131,192,0.68229
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Verplicht           ,39,192,0.20313
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Nader te bepalen,31,155,0.2
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Rechthebbend,109,155,0.70323
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Verplicht           ,15,155,0.09677
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Nader te bepalen,15,140,0.10714
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Rechthebbend,117,140,0.83571
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Verplicht           ,8,140,0.05714
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Nader te bepalen,10,124,0.08065
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Rechthebbend,105,124,0.84677
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Verplicht           ,9,124,0.07258
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Nader te bepalen,5,204,0.02451
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Rechthebbend,176,204,0.86275
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Verplicht           ,23,204,0.11275
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Nader te bepalen,20,172,0.11628
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Rechthebbend,134,172,0.77907
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Verplicht           ,18,172,0.10465
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,0,159,0.0
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,3,159,0.01887
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Rechthebbend,126,159,0.79245
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Verplicht           ,30,159,0.18868
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,1,196,0.0051
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,19,196,0.09694
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Rechthebbend,152,196,0.77551
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Verplicht           ,24,196,0.12245
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Nader te bepalen,0,169,0.0
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Rechthebbend,151,169,0.89349
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Verplicht           ,18,169,0.10651
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Nader te bepalen,0,147,0.0
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Rechthebbend,122,147,0.82993
Overijse,23062,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Verplicht           ,25,147,0.17007
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Nader te bepalen,0,4,0.0
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Rechthebbend,3,4,0.75
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Verplicht           ,1,4,0.25
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Nader te bepalen,0,3,0.0
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Rechthebbend,3,3,1.0
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Verplicht           ,0,3,0.0
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Nader te bepalen,0,6,0.0
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Rechthebbend,5,6,0.83333
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Verplicht           ,1,6,0.16667
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Nader te bepalen,0,9,0.0
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Rechthebbend,9,9,1.0
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Verplicht           ,0,9,0.0
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Nader te bepalen,0,6,0.0
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Rechthebbend,5,6,0.83333
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Verplicht           ,1,6,0.16667
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Nader te bepalen,0,14,0.0
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Rechthebbend,11,14,0.78571
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Verplicht           ,3,14,0.21429
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Nader te bepalen,0,3,0.0
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Rechthebbend,2,3,0.66667
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2017,Verplicht           ,1,3,0.33333
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Nader te bepalen,0,10,0.0
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Rechthebbend,4,10,0.4
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2018,Verplicht           ,6,10,0.6
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Nader te bepalen,0,10,0.0
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Rechthebbend,4,10,0.4
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2019,Verplicht           ,6,10,0.6
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Nader te bepalen,0,18,0.0
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Rechthebbend,12,18,0.66667
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2020,Verplicht           ,6,18,0.33333
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Nader te bepalen,0,8,0.0
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Rechthebbend,3,8,0.375
Pepingen,23064,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2021,Verplicht           ,5,8,0.625
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Nader te bepalen,2,107,0.01869
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Rechthebbend,65,107,0.60748
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2011,Verplicht           ,40,107,0.37383
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Nader te bepalen,3,156,0.01923
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Rechthebbend,112,156,0.71795
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2012,Verplicht           ,41,156,0.26282
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Nader te bepalen,4,132,0.0303
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Rechthebbend,93,132,0.70455
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2013,Verplicht           ,35,132,0.26515
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Nader te bepalen,2,134,0.01493
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Rechthebbend,102,134,0.76119
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2014,Verplicht           ,30,134,0.22388
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Nader te bepalen,2,138,0.01449
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Rechthebbend,105,138,0.76087
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2015,Verplicht           ,31,138,0.22464
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Nader te bepalen,3,321,0.00935
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Rechthebbend,252,321,0.78505
Sint-Pieters-Leeuw,23077,Nee,"Meerderjarige nieuwkomers, naar doelgroep",2016,Verplicht           ,66,321,0.20561
