Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Ja (%),Neen (%) 
 Zonhoven ,71066,nee,Betalingsmoeilijkheden wonen,2020,0.01,0.99
 Zonnebeke ,33037,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Zottegem ,41081,nee,Betalingsmoeilijkheden wonen,2020,0.03,0.97
 Zoutleeuw ,24130,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Zuienkerke ,31042,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Zulte ,44081,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Zutendaal ,71067,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
 Zwalm ,45065,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Zwevegem ,34042,nee,Betalingsmoeilijkheden wonen,2020,0.04,0.96
 Zwijndrecht ,11056,nee,Betalingsmoeilijkheden wonen,2020,0.05,0.95
13 centrumsteden,/,/,Betalingsmoeilijkheden wonen,2011,0.08,0.92
13 centrumsteden,/,/,Betalingsmoeilijkheden wonen,2014,0.07,0.93
13 centrumsteden,/,/,Betalingsmoeilijkheden wonen,2017,0.06,0.94
13 centrumsteden,/,/,Betalingsmoeilijkheden wonen,2020,0.07,0.93
Gemeenten groter dan 50.000 inw.,/,/,Betalingsmoeilijkheden wonen,2020,0.07,0.93
Gemeenten kleiner dan 10.000 inw.,/,/,Betalingsmoeilijkheden wonen,2020,0.04,0.96
Gemeenten van 10.000 tot 20.000 inw.,/,/,Betalingsmoeilijkheden wonen,2020,0.04,0.96
Gemeenten van 20.000 tot 30.000 inw.,/,/,Betalingsmoeilijkheden wonen,2020,0.04,0.96
Gemeenten van 30.000 tot 50.000 inw.,/,/,Betalingsmoeilijkheden wonen,2020,0.05,0.95
Vlaams Gewest,/,/,Betalingsmoeilijkheden wonen,2020,0.05,0.95
