Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,"ja, binnen dezelfde gemeente/stad (%)","ja, naar een andere gemeente/stad (%)","Neen,geen verhuisplannen (%)"
 Maarkedal ,45064,nee,Verhuisintentie,2017,0.06,0.08,0.86
 Maarkedal ,45064,nee,Verhuisintentie,2020,0.06,0.08,0.86
 Maaseik ,72021,nee,Verhuisintentie,2017,0.08,0.09,0.83
 Maaseik ,72021,nee,Verhuisintentie,2020,0.07,0.08,0.85
 Maasmechelen ,73107,nee,Verhuisintentie,2017,0.14,0.1,0.76
 Maasmechelen ,73107,nee,Verhuisintentie,2020,0.12,0.1,0.78
 Machelen ,23047,nee,Verhuisintentie,2017,0.11,0.16,0.73
 Machelen ,23047,nee,Verhuisintentie,2020,0.07,0.23,0.71
 Maldegem ,43010,nee,Verhuisintentie,2017,0.08,0.06,0.86
 Maldegem ,43010,nee,Verhuisintentie,2020,0.12,0.07,0.81
 Malle ,11057,nee,Verhuisintentie,2017,0.07,0.1,0.83
 Malle ,11057,nee,Verhuisintentie,2020,0.08,0.09,0.83
 Mechelen ,12025,ja,Verhuisintentie,2011,0.16,0.1,0.73
 Mechelen ,12025,ja,Verhuisintentie,2014,0.17,0.1,0.73
 Mechelen ,12025,ja,Verhuisintentie,2017,0.17,0.08,0.76
 Mechelen ,12025,ja,Verhuisintentie,2020,0.13,0.1,0.78
 Meerhout ,13021,nee,Verhuisintentie,2017,0.07,0.07,0.86
 Meerhout ,13021,nee,Verhuisintentie,2020,0.06,0.07,0.87
 Meeuwen-Gruitrode ,72040,nee,Verhuisintentie,2017,0.03,0.08,0.89
 Meise ,23050,nee,Verhuisintentie,2017,0.1,0.1,0.8
 Meise ,23050,nee,Verhuisintentie,2020,0.07,0.15,0.78
 Melle ,44040,nee,Verhuisintentie,2017,0.06,0.09,0.85
 Melle ,44040,nee,Verhuisintentie,2020,0.05,0.14,0.81
 Menen ,34027,nee,Verhuisintentie,2017,0.08,0.13,0.79
 Menen ,34027,nee,Verhuisintentie,2020,0.08,0.1,0.82
 Merchtem ,23052,nee,Verhuisintentie,2017,0.12,0.15,0.73
 Merchtem ,23052,nee,Verhuisintentie,2020,0.1,0.11,0.78
 Merelbeke ,44043,nee,Verhuisintentie,2017,0.09,0.12,0.79
 Merelbeke ,44043,nee,Verhuisintentie,2020,0.06,0.11,0.83
 Merksplas ,13023,nee,Verhuisintentie,2017,0.09,0.09,0.82
 Merksplas ,13023,nee,Verhuisintentie,2020,0.12,0.07,0.81
 Mesen ,33016,nee,Verhuisintentie,2017,0.04,0.14,0.81
 Mesen ,33016,nee,Verhuisintentie,2020,0.05,0.17,0.78
 Meulebeke ,37007,nee,Verhuisintentie,2017,0.06,0.1,0.84
 Meulebeke ,37007,nee,Verhuisintentie,2020,0.06,0.09,0.85
 Middelkerke ,35011,nee,Verhuisintentie,2017,0.06,0.06,0.88
 Middelkerke ,35011,nee,Verhuisintentie,2020,0.08,0.07,0.84
 Moerbeke ,44045,nee,Verhuisintentie,2017,0.06,0.09,0.85
 Moerbeke ,44045,nee,Verhuisintentie,2020,0.07,0.11,0.82
 Mol ,13025,nee,Verhuisintentie,2017,0.11,0.07,0.83
 Mol ,13025,nee,Verhuisintentie,2020,0.12,0.08,0.8
 Moorslede ,36012,nee,Verhuisintentie,2017,0.08,0.07,0.85
 Moorslede ,36012,nee,Verhuisintentie,2020,0.06,0.07,0.87
 Mortsel ,11029,nee,Verhuisintentie,2017,0.1,0.15,0.75
 Mortsel ,11029,nee,Verhuisintentie,2020,0.09,0.12,0.79
 Nazareth ,44048,nee,Verhuisintentie,2017,0.08,0.1,0.83
 Nazareth ,44048,nee,Verhuisintentie,2020,0.05,0.11,0.84
 Neerpelt ,72025,nee,Verhuisintentie,2017,0.12,0.1,0.79
 Nevele ,44049,nee,Verhuisintentie,2017,0.07,0.1,0.83
 Niel ,11030,nee,Verhuisintentie,2017,0.09,0.13,0.78
 Niel ,11030,nee,Verhuisintentie,2020,0.05,0.13,0.82
 Nieuwerkerken ,71045,nee,Verhuisintentie,2017,0.02,0.09,0.88
 Nieuwerkerken ,71045,nee,Verhuisintentie,2020,0.04,0.07,0.9
 Nieuwpoort ,38016,nee,Verhuisintentie,2017,0.07,0.09,0.84
 Nieuwpoort ,38016,nee,Verhuisintentie,2020,0.08,0.09,0.83
 Nijlen ,12026,nee,Verhuisintentie,2017,0.09,0.08,0.83
 Nijlen ,12026,nee,Verhuisintentie,2020,0.07,0.07,0.85
 Ninove ,41048,nee,Verhuisintentie,2017,0.13,0.08,0.79
 Ninove ,41048,nee,Verhuisintentie,2020,0.06,0.09,0.85
 Olen ,13029,nee,Verhuisintentie,2017,0.07,0.06,0.87
 Olen ,13029,nee,Verhuisintentie,2020,0.05,0.06,0.89
 Oostende ,35013,ja,Verhuisintentie,2011,0.16,0.09,0.76
 Oostende ,35013,ja,Verhuisintentie,2014,0.17,0.07,0.76
 Oostende ,35013,ja,Verhuisintentie,2017,0.15,0.08,0.77
 Oostende ,35013,ja,Verhuisintentie,2020,0.13,0.09,0.78
 Oosterzele ,44052,nee,Verhuisintentie,2017,0.07,0.08,0.85
 Oosterzele ,44052,nee,Verhuisintentie,2020,0.08,0.1,0.83
 Oostkamp ,31022,nee,Verhuisintentie,2017,0.09,0.09,0.82
 Oostkamp ,31022,nee,Verhuisintentie,2020,0.04,0.08,0.87
 Oostrozebeke ,37010,nee,Verhuisintentie,2017,0.08,0.1,0.83
 Oostrozebeke ,37010,nee,Verhuisintentie,2020,0.05,0.12,0.83
 Opglabbeek ,71047,nee,Verhuisintentie,2017,0.09,0.06,0.85
 Opwijk ,23060,nee,Verhuisintentie,2017,0.12,0.09,0.8
 Opwijk ,23060,nee,Verhuisintentie,2020,0.06,0.11,0.82
 Oudenaarde ,45035,nee,Verhuisintentie,2017,0.09,0.11,0.8
 Oudenaarde ,45035,nee,Verhuisintentie,2020,0.12,0.1,0.79
 Oudenburg ,35014,nee,Verhuisintentie,2017,0.04,0.11,0.85
 Oudenburg ,35014,nee,Verhuisintentie,2020,0.06,0.07,0.87
 Oud-Heverlee ,24086,nee,Verhuisintentie,2017,0.04,0.12,0.84
 Oud-Heverlee ,24086,nee,Verhuisintentie,2020,0.07,0.13,0.8
 Oudsbergen ,72042,nee,Verhuisintentie,2020,0.06,0.08,0.86
 Oud-Turnhout ,13031,nee,Verhuisintentie,2017,0.07,0.08,0.85
 Oud-Turnhout ,13031,nee,Verhuisintentie,2020,0.06,0.06,0.89
 Overijse ,23062,nee,Verhuisintentie,2017,0.1,0.11,0.79
 Overijse ,23062,nee,Verhuisintentie,2020,0.08,0.13,0.78
 Overpelt ,72029,nee,Verhuisintentie,2017,0.12,0.07,0.81
 Peer ,72030,nee,Verhuisintentie,2017,0.09,0.09,0.82
 Peer ,72030,nee,Verhuisintentie,2020,0.07,0.09,0.84
 Pelt ,72043,nee,Verhuisintentie,2020,0.09,0.07,0.84
 Pepingen ,23064,nee,Verhuisintentie,2017,0.03,0.12,0.85
 Pepingen ,23064,nee,Verhuisintentie,2020,0.06,0.08,0.86
 Pittem ,37011,nee,Verhuisintentie,2017,0.05,0.11,0.84
 Pittem ,37011,nee,Verhuisintentie,2020,0.06,0.13,0.81
 Poperinge ,33021,nee,Verhuisintentie,2017,0.1,0.08,0.82
 Poperinge ,33021,nee,Verhuisintentie,2020,0.07,0.08,0.86
 Putte ,12029,nee,Verhuisintentie,2017,0.09,0.06,0.85
 Putte ,12029,nee,Verhuisintentie,2020,0.06,0.09,0.85
 Puurs ,12030,nee,Verhuisintentie,2017,0.09,0.09,0.82
 Puurs-Sint-Amands ,12041,nee,Verhuisintentie,2020,0.09,0.08,0.83
 Ranst ,11035,nee,Verhuisintentie,2017,0.07,0.14,0.8
 Ranst ,11035,nee,Verhuisintentie,2020,0.06,0.08,0.86
 Ravels ,13035,nee,Verhuisintentie,2017,0.1,0.09,0.81
 Ravels ,13035,nee,Verhuisintentie,2020,0.07,0.07,0.86
 Retie ,13036,nee,Verhuisintentie,2017,0.1,0.08,0.82
 Retie ,13036,nee,Verhuisintentie,2020,0.07,0.09,0.84
 Riemst ,73066,nee,Verhuisintentie,2017,0.08,0.09,0.84
 Riemst ,73066,nee,Verhuisintentie,2020,0.07,0.08,0.84
 Rijkevorsel ,13037,nee,Verhuisintentie,2017,0.07,0.06,0.86
 Rijkevorsel ,13037,nee,Verhuisintentie,2020,0.07,0.06,0.87
 Roeselare ,36015,ja,Verhuisintentie,2011,0.1,0.07,0.83
 Roeselare ,36015,ja,Verhuisintentie,2014,0.09,0.09,0.82
 Roeselare ,36015,ja,Verhuisintentie,2017,0.12,0.09,0.79
 Roeselare ,36015,ja,Verhuisintentie,2020,0.11,0.08,0.81
 Ronse ,45041,nee,Verhuisintentie,2017,0.14,0.13,0.73
 Ronse ,45041,nee,Verhuisintentie,2020,0.07,0.13,0.8
 Roosdaal ,23097,nee,Verhuisintentie,2017,0.04,0.12,0.84
 Roosdaal ,23097,nee,Verhuisintentie,2020,0.05,0.07,0.88
 Rotselaar ,24094,nee,Verhuisintentie,2017,0.09,0.08,0.83
 Rotselaar ,24094,nee,Verhuisintentie,2020,0.07,0.11,0.82
 Ruiselede ,37012,nee,Verhuisintentie,2017,0.07,0.15,0.78
 Ruiselede ,37012,nee,Verhuisintentie,2020,0.08,0.07,0.85
 Rumst ,11037,nee,Verhuisintentie,2017,0.08,0.12,0.8
 Rumst ,11037,nee,Verhuisintentie,2020,0.09,0.1,0.81
 Schelle ,11038,nee,Verhuisintentie,2017,0.11,0.09,0.8
 Schelle ,11038,nee,Verhuisintentie,2020,0.05,0.1,0.86
 Scherpenheuvel-Zichem ,24134,nee,Verhuisintentie,2017,0.06,0.1,0.83
 Scherpenheuvel-Zichem ,24134,nee,Verhuisintentie,2020,0.08,0.09,0.83
 Schilde ,11039,nee,Verhuisintentie,2017,0.12,0.1,0.79
 Schilde ,11039,nee,Verhuisintentie,2020,0.07,0.14,0.79
 Schoten ,11040,nee,Verhuisintentie,2017,0.11,0.1,0.78
 Schoten ,11040,nee,Verhuisintentie,2020,0.08,0.1,0.82
 Sint-Amands ,12034,nee,Verhuisintentie,2017,0.09,0.09,0.82
 Sint-Genesius-Rode ,23101,nee,Verhuisintentie,2017,0.05,0.14,0.81
 Sint-Genesius-Rode ,23101,nee,Verhuisintentie,2020,0.07,0.15,0.78
 Sint-Gillis-Waas ,46020,nee,Verhuisintentie,2017,0.09,0.09,0.82
 Sint-Gillis-Waas ,46020,nee,Verhuisintentie,2020,0.06,0.11,0.83
 Sint-Katelijne-Waver ,12035,nee,Verhuisintentie,2017,0.09,0.09,0.82
 Sint-Katelijne-Waver ,12035,nee,Verhuisintentie,2020,0.05,0.09,0.87
 Sint-Laureins ,43014,nee,Verhuisintentie,2017,0.07,0.11,0.83
 Sint-Laureins ,43014,nee,Verhuisintentie,2020,0.09,0.08,0.84
 Sint-Lievens-Houtem ,41063,nee,Verhuisintentie,2017,0.09,0.07,0.84
 Sint-Lievens-Houtem ,41063,nee,Verhuisintentie,2020,0.05,0.1,0.85
 Sint-Martens-Latem ,44064,nee,Verhuisintentie,2017,0.05,0.13,0.82
 Sint-Martens-Latem ,44064,nee,Verhuisintentie,2020,0.04,0.15,0.81
 Sint-Niklaas ,46021,ja,Verhuisintentie,2011,0.16,0.06,0.78
 Sint-Niklaas ,46021,ja,Verhuisintentie,2014,0.12,0.09,0.79
 Sint-Niklaas ,46021,ja,Verhuisintentie,2017,0.15,0.09,0.76
 Sint-Niklaas ,46021,ja,Verhuisintentie,2020,0.12,0.1,0.77
 Sint-Pieters-Leeuw ,23077,nee,Verhuisintentie,2017,0.1,0.1,0.8
 Sint-Pieters-Leeuw ,23077,nee,Verhuisintentie,2020,0.1,0.1,0.79
 Sint-Truiden ,71053,nee,Verhuisintentie,2017,0.12,0.06,0.81
 Sint-Truiden ,71053,nee,Verhuisintentie,2020,0.07,0.07,0.86
 Spiere-Helkijn ,34043,nee,Verhuisintentie,2017,0.05,0.15,0.8
 Spiere-Helkijn ,34043,nee,Verhuisintentie,2020,0.06,0.18,0.76
 Stabroek ,11044,nee,Verhuisintentie,2017,0.08,0.11,0.81
 Stabroek ,11044,nee,Verhuisintentie,2020,0.06,0.13,0.81
 Staden ,36019,nee,Verhuisintentie,2017,0.09,0.09,0.81
 Staden ,36019,nee,Verhuisintentie,2020,0.05,0.09,0.86
 Steenokkerzeel ,23081,nee,Verhuisintentie,2017,0.08,0.11,0.8
 Steenokkerzeel ,23081,nee,Verhuisintentie,2020,0.06,0.11,0.82
 Stekene ,46024,nee,Verhuisintentie,2017,0.1,0.07,0.83
 Stekene ,46024,nee,Verhuisintentie,2020,0.08,0.05,0.87
 Temse ,46025,nee,Verhuisintentie,2017,0.09,0.12,0.79
 Temse ,46025,nee,Verhuisintentie,2020,0.11,0.09,0.79
 Ternat ,23086,nee,Verhuisintentie,2017,0.08,0.1,0.82
 Ternat ,23086,nee,Verhuisintentie,2020,0.06,0.11,0.83
 Tervuren ,24104,nee,Verhuisintentie,2017,0.15,0.12,0.73
 Tervuren ,24104,nee,Verhuisintentie,2020,0.14,0.15,0.71
 Tessenderlo ,71057,nee,Verhuisintentie,2017,0.1,0.08,0.82
 Tessenderlo ,71057,nee,Verhuisintentie,2020,0.08,0.08,0.84
 Tielt ,37015,nee,Verhuisintentie,2017,0.07,0.08,0.85
 Tielt ,37015,nee,Verhuisintentie,2020,0.09,0.11,0.81
 Tielt-Winge ,24135,nee,Verhuisintentie,2017,0.06,0.11,0.84
 Tielt-Winge ,24135,nee,Verhuisintentie,2020,0.05,0.11,0.84
 Tienen ,24107,nee,Verhuisintentie,2017,0.1,0.16,0.75
 Tienen ,24107,nee,Verhuisintentie,2020,0.08,0.11,0.81
 Tongeren ,73083,nee,Verhuisintentie,2017,0.12,0.09,0.79
 Tongeren ,73083,nee,Verhuisintentie,2020,0.11,0.07,0.81
 Torhout ,31033,nee,Verhuisintentie,2017,0.1,0.1,0.8
 Torhout ,31033,nee,Verhuisintentie,2020,0.09,0.09,0.82
 Tremelo ,24109,nee,Verhuisintentie,2017,0.08,0.1,0.83
 Tremelo ,24109,nee,Verhuisintentie,2020,0.05,0.09,0.86
 Turnhout ,13040,ja,Verhuisintentie,2011,0.13,0.1,0.77
 Turnhout ,13040,ja,Verhuisintentie,2014,0.15,0.11,0.74
 Turnhout ,13040,ja,Verhuisintentie,2017,0.14,0.12,0.74
 Turnhout ,13040,ja,Verhuisintentie,2020,0.13,0.12,0.74
 Veurne ,38025,nee,Verhuisintentie,2017,0.07,0.1,0.84
 Veurne ,38025,nee,Verhuisintentie,2020,0.08,0.08,0.83
 Vilvoorde ,23088,nee,Verhuisintentie,2017,0.08,0.16,0.76
 Vilvoorde ,23088,nee,Verhuisintentie,2020,0.12,0.18,0.7
 Vleteren ,33041,nee,Verhuisintentie,2017,0.07,0.07,0.85
 Vleteren ,33041,nee,Verhuisintentie,2020,0.05,0.09,0.86
 Voeren ,73109,nee,Verhuisintentie,2017,0.11,0.08,0.81
 Voeren ,73109,nee,Verhuisintentie,2020,0.09,0.09,0.83
 Vorselaar ,13044,nee,Verhuisintentie,2017,0.11,0.06,0.83
 Vorselaar ,13044,nee,Verhuisintentie,2020,0.08,0.04,0.88
 Vosselaar ,13046,nee,Verhuisintentie,2017,0.1,0.07,0.82
 Vosselaar ,13046,nee,Verhuisintentie,2020,0.07,0.06,0.87
 Waarschoot ,44072,nee,Verhuisintentie,2017,0.11,0.08,0.81
 Waasmunster ,42023,nee,Verhuisintentie,2017,0.08,0.09,0.82
 Waasmunster ,42023,nee,Verhuisintentie,2020,0.06,0.11,0.83
 Wachtebeke ,44073,nee,Verhuisintentie,2017,0.06,0.09,0.85
 Wachtebeke ,44073,nee,Verhuisintentie,2020,0.05,0.1,0.86
 Waregem ,34040,nee,Verhuisintentie,2017,0.11,0.06,0.83
 Waregem ,34040,nee,Verhuisintentie,2020,0.06,0.09,0.85
 Wellen ,73098,nee,Verhuisintentie,2017,0.04,0.1,0.86
 Wellen ,73098,nee,Verhuisintentie,2020,0.06,0.07,0.87
 Wemmel ,23102,nee,Verhuisintentie,2017,0.09,0.16,0.75
 Wemmel ,23102,nee,Verhuisintentie,2020,0.1,0.13,0.77
 Wervik ,33029,nee,Verhuisintentie,2017,0.12,0.1,0.78
 Wervik ,33029,nee,Verhuisintentie,2020,0.08,0.07,0.84
 Westerlo ,13049,nee,Verhuisintentie,2017,0.1,0.07,0.83
 Westerlo ,13049,nee,Verhuisintentie,2020,0.07,0.07,0.86
 Wetteren ,42025,nee,Verhuisintentie,2017,0.1,0.14,0.76
 Wetteren ,42025,nee,Verhuisintentie,2020,0.13,0.09,0.78
 Wevelgem ,34041,nee,Verhuisintentie,2017,0.09,0.06,0.85
 Wevelgem ,34041,nee,Verhuisintentie,2020,0.08,0.08,0.84
 Wezembeek-Oppem ,23103,nee,Verhuisintentie,2017,0.06,0.19,0.75
 Wezembeek-Oppem ,23103,nee,Verhuisintentie,2020,0.08,0.16,0.77
 Wichelen ,42026,nee,Verhuisintentie,2017,0.09,0.09,0.82
 Wichelen ,42026,nee,Verhuisintentie,2020,0.05,0.08,0.87
 Wielsbeke ,37017,nee,Verhuisintentie,2017,0.07,0.12,0.81
 Wielsbeke ,37017,nee,Verhuisintentie,2020,0.03,0.12,0.85
 Wijnegem ,11050,nee,Verhuisintentie,2017,0.08,0.09,0.83
 Wijnegem ,11050,nee,Verhuisintentie,2020,0.06,0.12,0.83
 Willebroek ,12040,nee,Verhuisintentie,2017,0.1,0.16,0.74
 Willebroek ,12040,nee,Verhuisintentie,2020,0.08,0.16,0.76
 Wingene ,37018,nee,Verhuisintentie,2017,0.06,0.09,0.85
 Wingene ,37018,nee,Verhuisintentie,2020,0.09,0.07,0.84
 Wommelgem ,11052,nee,Verhuisintentie,2017,0.1,0.11,0.79
 Wommelgem ,11052,nee,Verhuisintentie,2020,0.08,0.14,0.78
 Wortegem-Petegem ,45061,nee,Verhuisintentie,2017,0.05,0.1,0.86
 Wortegem-Petegem ,45061,nee,Verhuisintentie,2020,0.07,0.09,0.84
 Wuustwezel ,11053,nee,Verhuisintentie,2017,0.12,0.07,0.8
 Wuustwezel ,11053,nee,Verhuisintentie,2020,0.12,0.06,0.82
 Zandhoven ,11054,nee,Verhuisintentie,2017,0.07,0.08,0.85
 Zandhoven ,11054,nee,Verhuisintentie,2020,0.06,0.11,0.84
 Zaventem ,23094,nee,Verhuisintentie,2017,0.07,0.15,0.78
 Zaventem ,23094,nee,Verhuisintentie,2020,0.09,0.14,0.77
 Zedelgem ,31040,nee,Verhuisintentie,2017,0.07,0.06,0.87
 Zedelgem ,31040,nee,Verhuisintentie,2020,0.08,0.07,0.85
 Zele ,42028,nee,Verhuisintentie,2017,0.13,0.09,0.77
 Zele ,42028,nee,Verhuisintentie,2020,0.07,0.1,0.83
 Zelzate ,43018,nee,Verhuisintentie,2017,0.09,0.16,0.76
 Zelzate ,43018,nee,Verhuisintentie,2020,0.06,0.14,0.8
 Zemst ,23096,nee,Verhuisintentie,2017,0.09,0.09,0.81
 Zemst ,23096,nee,Verhuisintentie,2020,0.06,0.08,0.86
 Zingem ,45057,nee,Verhuisintentie,2017,0.07,0.09,0.84
 Zoersel ,11055,nee,Verhuisintentie,2017,0.08,0.1,0.82
 Zoersel ,11055,nee,Verhuisintentie,2020,0.07,0.09,0.84
 Zomergem ,44080,nee,Verhuisintentie,2017,0.11,0.1,0.8
 Zonhoven ,71066,nee,Verhuisintentie,2017,0.09,0.08,0.83
 Zonhoven ,71066,nee,Verhuisintentie,2020,0.1,0.07,0.84
 Zonnebeke ,33037,nee,Verhuisintentie,2017,0.05,0.09,0.85
 Zonnebeke ,33037,nee,Verhuisintentie,2020,0.1,0.07,0.83
 Zottegem ,41081,nee,Verhuisintentie,2017,0.11,0.09,0.8
 Zottegem ,41081,nee,Verhuisintentie,2020,0.08,0.09,0.83
 Zoutleeuw ,24130,nee,Verhuisintentie,2017,0.03,0.11,0.86
 Zoutleeuw ,24130,nee,Verhuisintentie,2020,0.05,0.08,0.88
 Zuienkerke ,31042,nee,Verhuisintentie,2017,0.03,0.15,0.82
 Zuienkerke ,31042,nee,Verhuisintentie,2020,0.05,0.13,0.83
 Zulte ,44081,nee,Verhuisintentie,2017,0.09,0.09,0.82
 Zulte ,44081,nee,Verhuisintentie,2020,0.08,0.11,0.81
 Zutendaal ,71067,nee,Verhuisintentie,2017,0.06,0.09,0.85
 Zutendaal ,71067,nee,Verhuisintentie,2020,0.09,0.08,0.83
 Zwalm ,45065,nee,Verhuisintentie,2017,0.05,0.1,0.85
 Zwalm ,45065,nee,Verhuisintentie,2020,0.04,0.11,0.85
 Zwevegem ,34042,nee,Verhuisintentie,2017,0.08,0.09,0.83
 Zwevegem ,34042,nee,Verhuisintentie,2020,0.08,0.07,0.85
 Zwijndrecht ,11056,nee,Verhuisintentie,2017,0.11,0.11,0.77
 Zwijndrecht ,11056,nee,Verhuisintentie,2020,0.09,0.1,0.81
13 centrumsteden,/,/,Verhuisintentie,2011,0.17,0.1,0.73
13 centrumsteden,/,/,Verhuisintentie,2014,0.18,0.1,0.71
13 centrumsteden,/,/,Verhuisintentie,2017,0.19,0.11,0.71
13 centrumsteden,/,/,Verhuisintentie,2020,0.16,0.12,0.72
Gemeenten groter dan 50.000 inw.,/,/,Verhuisintentie,2017,0.19,0.1,0.71
Gemeenten groter dan 50.000 inw.,/,/,Verhuisintentie,2020,0.16,0.12,0.72
Gemeenten kleiner dan 10.000 inw.,/,/,Verhuisintentie,2017,0.07,0.1,0.83
Gemeenten kleiner dan 10.000 inw.,/,/,Verhuisintentie,2020,0.06,0.1,0.85
Gemeenten van 10.000 tot 20.000 inw.,/,/,Verhuisintentie,2017,0.08,0.1,0.82
Gemeenten van 10.000 tot 20.000 inw.,/,/,Verhuisintentie,2020,0.07,0.1,0.83
Gemeenten van 20.000 tot 30.000 inw.,/,/,Verhuisintentie,2017,0.09,0.1,0.81
Gemeenten van 20.000 tot 30.000 inw.,/,/,Verhuisintentie,2020,0.08,0.09,0.82
Gemeenten van 30.000 tot 50.000 inw.,/,/,Verhuisintentie,2017,0.11,0.09,0.8
Gemeenten van 30.000 tot 50.000 inw.,/,/,Verhuisintentie,2020,0.1,0.09,0.81
Vlaams Gewest,/,/,Verhuisintentie,2017,0.12,0.1,0.79
Vlaams Gewest,/,/,Verhuisintentie,2020,0.1,0.1,0.8
