Gemeente,NIS-code,Centrumstad?,Indicator,Soort aangifte,Jaar,Aantal individuele fiscale aangiften met een netto belastbaar inkomen lager dan 10.000 euro en aantal gemeenschappelijke aangiften met een netto belastbaar inkomen lager dan 20.000 euro,Aantal individuele fiscale aangiften en aantal gemeenschappelijke aangiften,Procent
Vorselaar,13044,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,514,2618,0.196333
Vorselaar,13044,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,186,1802,0.103219
Vorselaar,13044,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,497,2667,0.186352
Vorselaar,13044,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,188,1806,0.104097
Vorselaar,13044,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,496,2684,0.184799
Vorselaar,13044,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,151,1807,0.0835639
Vorselaar,13044,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,471,2652,0.177602
Vorselaar,13044,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,132,1827,0.0722496
Vorselaar,13044,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,440,2677,0.164363
Vorselaar,13044,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,117,1836,0.0637255
Vorselaar,13044,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,439,2663,0.164852
Vorselaar,13044,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,90,1872,0.0480769
Vorselaar,13044,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,399,2623,0.152116
Vorselaar,13044,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,57,1888,0.0301907
Vorselaar,13044,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,368,2611,0.140942
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,282,2500,0.1128
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,830,3212,0.258406
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,264,2536,0.104101
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,875,3331,0.262684
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,217,2594,0.0836546
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,798,3334,0.239352
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,190,2606,0.0729087
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,739,3275,0.225649
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,165,2612,0.06317
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,718,3296,0.21784
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,143,2641,0.0541462
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,691,3348,0.206392
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,138,2679,0.0515118
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,704,3309,0.212753
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,115,2663,0.0431844
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,692,3368,0.205463
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,104,2729,0.0381092
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,652,3314,0.196741
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,84,2720,0.0308824
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,655,3354,0.195289
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,76,2747,0.0276665
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,644,3396,0.189635
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,65,2746,0.0236708
Vosselaar,13046,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,587,3462,0.169555
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,842,5563,0.151357
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,1717,8209,0.209161
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,794,5630,0.14103
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,1769,8335,0.212238
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,677,5659,0.119632
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,1614,8353,0.193224
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,530,5706,0.0928847
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,1407,8103,0.173639
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,403,5714,0.0705285
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,1456,8236,0.176785
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,378,5747,0.0657734
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,1372,8210,0.167113
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,361,5794,0.0623058
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,1356,8191,0.165548
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,284,5760,0.0493056
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,1407,8217,0.17123
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,224,5803,0.0386007
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,1374,8294,0.165662
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,209,5858,0.0356777
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,1456,8444,0.17243
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,166,5846,0.0283955
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,1414,8481,0.166726
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,107,5844,0.0183094
Westerlo,13049,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,1315,8563,0.153568
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,596,3648,0.163377
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,1059,5334,0.198538
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,567,3686,0.153825
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,1097,5342,0.205354
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,462,3686,0.125339
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,974,5360,0.181716
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,357,3707,0.0963043
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,900,5239,0.171789
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,273,3731,0.0731707
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,864,5237,0.16498
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,256,3766,0.0679766
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,880,5335,0.164948
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,247,3781,0.0653266
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,831,5307,0.156586
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,195,3743,0.0520972
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,819,5391,0.15192
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,146,3737,0.0390688
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,816,5497,0.148445
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,134,3776,0.0354873
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,853,5519,0.154557
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,102,3792,0.0268987
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,758,5496,0.137918
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,68,3793,0.0179278
Laakdal,13053,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,738,5560,0.132734
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,843,6243,0.135031
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,2578,11026,0.233811
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,818,6287,0.13011
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,2637,11114,0.237268
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,734,6285,0.116786
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,2513,11161,0.225159
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,664,6360,0.104403
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,2286,10979,0.208216
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,615,6461,0.0951865
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,2292,10964,0.209048
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,560,6518,0.0859159
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,2278,11131,0.204654
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,548,6538,0.0838177
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,2298,11346,0.202538
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,522,6596,0.0791389
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,2353,11428,0.205898
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,477,6612,0.0721416
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,2350,11470,0.204882
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,425,6623,0.0641703
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,2464,11606,0.212304
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,382,6682,0.0571685
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,2245,11489,0.195404
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,294,6729,0.0436915
Asse,23002,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,2080,11475,0.181264
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,637,4952,0.128635
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,2100,8173,0.256944
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,592,4972,0.119067
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,2112,8194,0.25775
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,512,4979,0.102832
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,2029,8199,0.247469
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,405,4969,0.0815053
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,1819,8000,0.227375
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,372,5020,0.0741036
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,1843,8084,0.227981
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,314,5036,0.0623511
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,1796,8091,0.221975
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,333,5016,0.0663876
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,1829,8201,0.223022
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,276,5049,0.0546643
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,1899,8322,0.22819
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,260,5067,0.0513124
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,1896,8389,0.22601
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,238,5103,0.0466392
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,2003,8464,0.236649
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,214,5137,0.0416586
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,1890,8405,0.224866
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,170,5173,0.0328629
Beersel,23003,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,1770,8503,0.208162
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,70,459,0.152505
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,176,697,0.252511
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,58,459,0.126362
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,182,711,0.255977
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,57,466,0.122318
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,172,720,0.238889
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,53,463,0.114471
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,169,699,0.241774
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,55,476,0.115546
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,140,687,0.203785
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,44,475,0.0926316
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,145,710,0.204225
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,43,468,0.0918803
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,147,707,0.207921
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,31,465,0.0666667
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,126,725,0.173793
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,25,469,0.0533049
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,125,717,0.174338
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,28,466,0.0600858
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,125,703,0.177809
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,24,465,0.0516129
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,120,717,0.167364
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,20,472,0.0423729
Bever,23009,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,129,725,0.177931
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,1070,8334,0.12839
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,3527,14683,0.24021
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,1035,8345,0.124026
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,3603,14821,0.243101
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,916,8399,0.109061
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,3364,14720,0.228533
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,783,8408,0.0931256
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,3060,14461,0.211604
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,750,8471,0.0885374
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,3075,14568,0.211079
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,667,8451,0.0789256
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,3009,14671,0.205098
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,639,8483,0.0753271
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,3070,14886,0.206234
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,607,8550,0.0709942
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,3108,15024,0.206869
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,549,8557,0.064158
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,3113,15291,0.203584
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,510,8577,0.0594614
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,3160,15415,0.204995
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,465,8681,0.0535653
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,3109,15471,0.200957
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,362,8798,0.0411457
Dilbeek,23016,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,2781,15273,0.182086
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,239,1952,0.122439
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,621,2834,0.219125
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,231,1964,0.117617
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,582,2821,0.20631
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,202,1981,0.101969
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,540,2797,0.193064
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,158,1980,0.079798
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,487,2771,0.175749
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,118,1997,0.0590886
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,485,2741,0.176943
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,105,1998,0.0525526
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,465,2722,0.17083
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,101,1992,0.0507028
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,458,2754,0.166304
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,92,2002,0.045954
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,450,2757,0.163221
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,67,2010,0.0333333
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,509,2794,0.182176
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,61,2023,0.0301532
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,472,2785,0.169479
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,50,2038,0.0245339
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,478,2811,0.170046
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,38,2043,0.0186001
Galmaarden,23023,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,419,2744,0.152697
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,334,2111,0.158219
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,724,3016,0.240053
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,304,2108,0.144213
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,704,3070,0.229316
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,273,2129,0.128229
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,664,3055,0.217349
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,205,2118,0.0967894
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,587,3014,0.194758
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,169,2125,0.0795294
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,603,3034,0.198748
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2014,163,2126,0.0766698
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2014,636,3075,0.206829
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2015,166,2151,0.0771734
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2015,600,3055,0.196399
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2016,140,2142,0.0653595
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2016,560,3070,0.18241
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2017,121,2131,0.0567809
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2017,581,3135,0.185327
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2018,91,2118,0.0429651
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2018,579,3126,0.185221
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2019,83,2112,0.0392992
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2019,531,3126,0.169866
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2020,55,2113,0.0260293
Gooik,23024,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2020,499,3145,0.158665
Grimbergen,23025,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2009,852,7097,0.120051
Grimbergen,23025,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2009,2869,13188,0.217546
Grimbergen,23025,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2010,795,7091,0.112114
Grimbergen,23025,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2010,2890,13274,0.217719
Grimbergen,23025,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2011,732,7173,0.102049
Grimbergen,23025,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2011,2701,13260,0.203695
Grimbergen,23025,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2012,647,7227,0.0895254
Grimbergen,23025,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2012,2430,12856,0.189017
Grimbergen,23025,Nee,Fiscaal inkomen beneden kritische grens,Gemeenschappelijke aangiften,2013,597,7292,0.0818705
Grimbergen,23025,Nee,Fiscaal inkomen beneden kritische grens,Individuele aangiften,2013,2456,13082,0.187739
