Gemeente,NIS-code,Centrumstad?,Indicator,Item,Jaar,Oneens (%),Neutraal (%),Eens (%)
 Buggenhout ,42004,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.29,0.22,0.49
 Buggenhout ,42004,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.32,0.27,0.41
 Damme ,31006,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.29,0.28,0.43
 Damme ,31006,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.25,0.35,0.4
 Damme ,31006,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.25,0.26,0.48
 Damme ,31006,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.3,0.3,0.41
 De Haan ,35029,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.26,0.3,0.45
 De Haan ,35029,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.21,0.24,0.54
 De Haan ,35029,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.35,0.25,0.4
 De Haan ,35029,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.22,0.24,0.54
 De Panne ,38008,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.24,0.24,0.52
 De Panne ,38008,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.16,0.24,0.61
 De Panne ,38008,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.32,0.18,0.5
 De Panne ,38008,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.17,0.19,0.64
 De Pinte ,44012,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.11,0.23,0.66
 De Pinte ,44012,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.13,0.24,0.63
 De Pinte ,44012,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.1,0.23,0.67
 De Pinte ,44012,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.11,0.22,0.67
 Deerlijk ,34009,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.24,0.25,0.51
 Deerlijk ,34009,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.26,0.25,0.49
 Deerlijk ,34009,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.24,0.29,0.47
 Deerlijk ,34009,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.33,0.29,0.38
 Deinze ,44011,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.23,0.34,0.42
 Deinze ,44083,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.26,0.33,0.41
 Deinze ,44011,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.3,0.3,0.4
 Deinze ,44083,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.32,0.32,0.36
 Denderleeuw ,41011,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.3,0.32,0.37
 Denderleeuw ,41011,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.25,0.34,0.41
 Denderleeuw ,41011,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.33,0.31,0.36
 Denderleeuw ,41011,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.31,0.31,0.38
 Dendermonde ,42006,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.23,0.35,0.42
 Dendermonde ,42006,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.23,0.29,0.48
 Dendermonde ,42006,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.24,0.29,0.47
 Dendermonde ,42006,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.23,0.24,0.53
 Dentergem ,37002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.17,0.3,0.53
 Dentergem ,37002,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.21,0.23,0.55
 Dentergem ,37002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.26,0.33,0.41
 Dentergem ,37002,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.27,0.33,0.4
 Dessel ,13006,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.18,0.26,0.56
 Dessel ,13006,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.2,0.29,0.51
 Dessel ,13006,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.19,0.23,0.58
 Dessel ,13006,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.26,0.25,0.49
 Destelbergen ,44013,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.28,0.3,0.41
 Destelbergen ,44013,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.19,0.33,0.49
 Destelbergen ,44013,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.39,0.25,0.36
 Destelbergen ,44013,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.25,0.32,0.42
 Diepenbeek ,71011,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.16,0.32,0.52
 Diepenbeek ,71011,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.12,0.31,0.57
 Diepenbeek ,71011,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.2,0.26,0.54
 Diepenbeek ,71011,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.17,0.31,0.52
 Diest ,24020,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.31,0.27,0.42
 Diest ,24020,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.16,0.32,0.52
 Diest ,24020,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.27,0.31,0.42
 Diest ,24020,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.17,0.29,0.54
 Diksmuide ,32003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.32,0.25,0.43
 Diksmuide ,32003,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.21,0.25,0.54
 Diksmuide ,32003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.3,0.25,0.45
 Diksmuide ,32003,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.24,0.31,0.45
 Dilbeek ,23016,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.25,0.36,0.39
 Dilbeek ,23016,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.26,0.3,0.44
 Dilbeek ,23016,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.3,0.28,0.41
 Dilbeek ,23016,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.29,0.35,0.36
 Dilsen-Stokkem ,72041,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.24,0.29,0.46
 Dilsen-Stokkem ,72041,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.16,0.31,0.53
 Dilsen-Stokkem ,72041,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.28,0.25,0.47
 Dilsen-Stokkem ,72041,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.21,0.32,0.47
 Drogenbos ,23098,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.14,0.25,0.6
 Drogenbos ,23098,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.07,0.3,0.63
 Drogenbos ,23098,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.15,0.25,0.6
 Drogenbos ,23098,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.17,0.3,0.53
 Duffel ,12009,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.21,0.31,0.47
 Duffel ,12009,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.19,0.29,0.51
 Duffel ,12009,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.24,0.29,0.47
 Duffel ,12009,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.29,0.28,0.44
 Edegem ,11013,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.15,0.28,0.57
 Edegem ,11013,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.29,0.25,0.46
 Edegem ,11013,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.15,0.25,0.61
 Edegem ,11013,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.31,0.27,0.41
 Eeklo ,43005,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.32,0.29,0.39
 Eeklo ,43005,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.31,0.33,0.36
 Eeklo ,43005,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.33,0.27,0.41
 Eeklo ,43005,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.36,0.29,0.35
 Erpe-Mere ,41082,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.18,0.24,0.58
 Erpe-Mere ,41082,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.23,0.27,0.5
 Erpe-Mere ,41082,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.22,0.28,0.49
 Erpe-Mere ,41082,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.32,0.29,0.39
 Essen ,11016,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.21,0.27,0.52
 Essen ,11016,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.26,0.27,0.47
 Essen ,11016,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.23,0.26,0.5
 Essen ,11016,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.26,0.29,0.45
 Evergem ,44019,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.21,0.29,0.49
 Evergem ,44019,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.11,0.28,0.61
 Evergem ,44019,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.24,0.25,0.5
 Evergem ,44019,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.16,0.23,0.61
 Galmaarden ,23023,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.31,0.26,0.43
 Galmaarden ,23023,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.2,0.39,0.41
 Galmaarden ,23023,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.43,0.25,0.31
 Galmaarden ,23023,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.27,0.33,0.4
 Gavere ,44020,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.31,0.24,0.46
 Gavere ,44020,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.27,0.32,0.41
 Gavere ,44020,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.3,0.24,0.46
 Gavere ,44020,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.32,0.28,0.41
 Geel ,13008,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.26,0.33,0.41
 Geel ,13008,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.21,0.33,0.46
 Geel ,13008,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.23,0.32,0.45
 Geel ,13008,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.26,0.28,0.46
 Geetbets ,24028,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.2,0.23,0.57
 Geetbets ,24028,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.17,0.33,0.5
 Geetbets ,24028,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.21,0.26,0.54
 Geetbets ,24028,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.21,0.26,0.52
 Genk ,71016,ja,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.15,0.33,0.52
 Genk ,71016,ja,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.22,0.28,0.49
 Genk ,71016,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2008,0.23,0.24,0.52
 Genk ,71016,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2011,0.2,0.26,0.53
 Genk ,71016,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2014,0.2,0.3,0.5
 Genk ,71016,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.19,0.3,0.52
 Genk ,71016,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.26,0.25,0.49
 Gent ,44021,ja,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.22,0.37,0.41
 Gent ,44021,ja,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.27,0.32,0.41
 Gent ,44021,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2008,0.27,0.28,0.45
 Gent ,44021,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2011,0.24,0.29,0.47
 Gent ,44021,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2014,0.26,0.28,0.46
 Gent ,44021,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.28,0.27,0.45
 Gent ,44021,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.3,0.27,0.44
 Geraardsbergen ,41018,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.31,0.31,0.38
 Geraardsbergen ,41018,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.32,0.36,0.31
 Geraardsbergen ,41018,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.31,0.31,0.38
 Geraardsbergen ,41018,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.36,0.32,0.33
 Gingelom ,71017,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.18,0.24,0.58
 Gingelom ,71017,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.13,0.29,0.58
 Gingelom ,71017,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.18,0.26,0.56
 Gingelom ,71017,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.22,0.27,0.51
 Gistel ,35005,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.35,0.26,0.39
 Gistel ,35005,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.19,0.29,0.52
 Gistel ,35005,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.34,0.27,0.4
 Gistel ,35005,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.2,0.29,0.5
 Glabbeek ,24137,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.15,0.14,0.7
 Glabbeek ,24137,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.14,0.2,0.67
 Glabbeek ,24137,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.13,0.16,0.71
 Glabbeek ,24137,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.15,0.18,0.67
 Gooik ,23024,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.16,0.27,0.57
 Gooik ,23024,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.25,0.27,0.48
 Gooik ,23024,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.21,0.23,0.56
 Gooik ,23024,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.23,0.23,0.54
 Grimbergen ,23025,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.34,0.29,0.37
 Grimbergen ,23025,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.29,0.3,0.41
 Grimbergen ,23025,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.4,0.29,0.31
 Grimbergen ,23025,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.38,0.31,0.31
 Grobbendonk ,13010,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.29,0.28,0.43
 Grobbendonk ,13010,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.19,0.25,0.57
 Grobbendonk ,13010,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.32,0.29,0.38
 Grobbendonk ,13010,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.19,0.28,0.53
 Haacht ,24033,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.24,0.34,0.42
 Haacht ,24033,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.23,0.33,0.44
 Haacht ,24033,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.29,0.3,0.42
 Haacht ,24033,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.33,0.33,0.34
 Haaltert ,41024,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.35,0.26,0.39
 Haaltert ,41024,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.27,0.35,0.38
 Haaltert ,41024,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.34,0.29,0.36
 Haaltert ,41024,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.34,0.29,0.37
 Halen ,71020,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.32,0.25,0.44
 Halen ,71020,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.23,0.25,0.53
 Halen ,71020,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.35,0.26,0.39
 Halen ,71020,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.27,0.31,0.42
 Halle ,23027,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.37,0.33,0.3
 Halle ,23027,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.32,0.34,0.34
 Halle ,23027,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.41,0.26,0.33
 Halle ,23027,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.37,0.32,0.31
 Ham ,71069,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.19,0.29,0.53
 Ham ,71069,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.15,0.32,0.54
 Ham ,71069,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.2,0.27,0.52
 Ham ,71069,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.2,0.31,0.49
 Hamme ,42008,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.32,0.28,0.4
 Hamme ,42008,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.28,0.33,0.4
 Hamme ,42008,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.37,0.26,0.38
 Hamme ,42008,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.36,0.26,0.38
 Hamont-Achel ,72037,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.17,0.28,0.54
 Hamont-Achel ,72037,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.24,0.34,0.42
 Hamont-Achel ,72037,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.21,0.22,0.58
 Hamont-Achel ,72037,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.32,0.27,0.41
 Harelbeke ,34013,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.22,0.27,0.51
 Harelbeke ,34013,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.27,0.33,0.39
 Harelbeke ,34013,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.24,0.26,0.5
 Harelbeke ,34013,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.35,0.29,0.36
 Hasselt ,71022,ja,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.22,0.39,0.39
 Hasselt ,71022,ja,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.25,0.33,0.42
 Hasselt ,71022,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2008,0.14,0.25,0.61
 Hasselt ,71022,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2011,0.22,0.28,0.49
 Hasselt ,71022,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2014,0.32,0.35,0.33
 Hasselt ,71022,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.3,0.31,0.39
 Hasselt ,71022,ja,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.3,0.28,0.42
 Hechtel ,72038,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2017,0.14,0.26,0.6
 Hechtel ,72038,nee,Voldoende consultatie van inwoners (detail),Tevredenheid omgaan met vragen,2020,0.14,0.26,0.6
 Hechtel ,72038,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2017,0.15,0.26,0.6
 Hechtel ,72038,nee,Voldoende consultatie van inwoners (detail),Voldoende inspanningen betrekken bewoners bij veranderingen in hun buurt,2020,0.12,0.29,0.6
