Gemeente,NIS-code,Centrumstad?,Indicator,Jaar,Slecht (%),Redelijk (%),Goed (%)
 Zwalm ,45065,nee,Subjectieve gezondheid,2020,0.03,0.21,0.75
 Zwevegem ,34042,nee,Subjectieve gezondheid,2020,0.03,0.21,0.76
 Zwijndrecht ,11056,nee,Subjectieve gezondheid,2020,0.06,0.17,0.78
13 centrumsteden,/,/,Subjectieve gezondheid,2011,0.05,0.22,0.73
13 centrumsteden,/,/,Subjectieve gezondheid,2014,0.05,0.21,0.74
13 centrumsteden,/,/,Subjectieve gezondheid,2017,0.05,0.24,0.7
13 centrumsteden,/,/,Subjectieve gezondheid,2020,0.04,0.22,0.74
Gemeenten groter dan 50.000 inw.,/,/,Subjectieve gezondheid,2020,0.04,0.22,0.74
Gemeenten kleiner dan 10.000 inw.,/,/,Subjectieve gezondheid,2020,0.04,0.23,0.73
Gemeenten van 10.000 tot 20.000 inw.,/,/,Subjectieve gezondheid,2020,0.04,0.23,0.74
Gemeenten van 20.000 tot 30.000 inw.,/,/,Subjectieve gezondheid,2020,0.04,0.23,0.74
Gemeenten van 30.000 tot 50.000 inw.,/,/,Subjectieve gezondheid,2020,0.04,0.24,0.72
Vlaams Gewest,/,/,Subjectieve gezondheid,2020,0.04,0.23,0.73
